时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:04:09.138000,dd:f7:75:f0:61:9c, 0.064, 0.874, -0.485, -0.366, -24.109, 11.169, 118.268, 3.274, 85.441, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.138000,dd:f7:75:f0:61:9c, 0.064, 0.821, -0.397, 18.982, -24.963, 13.428, 118.345, 3.307, 85.166, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.138000,dd:f7:75:f0:61:9c, 0.136, 0.821, -0.397, 18.982, -24.963, 13.428, 118.515, 3.329, 84.88, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.172000,dd:f7:75:f0:61:9c, 0.138, 1.136, -0.617, 9.644, -10.681, 21.362, 119.844, 2.802, 83.513, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.172000,dd:f7:75:f0:61:9c, 0.127, 1.136, -0.617, 9.644, -10.681, 21.362, 119.773, 2.95, 83.705, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.172000,dd:f7:75:f0:61:9c, 0.127, 0.868, -0.487, 39.612, -20.691, 16.968, 118.79, 3.323, 84.606, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.198000,dd:f7:75:f0:61:9c, 0.138, 1.101, -0.583, -5.005, -8.667, 19.287, 119.85, 2.653, 83.337, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.198000,dd:f7:75:f0:61:9c, 0.167, 1.101, -0.583, -5.005, -8.667, 19.287, 119.778, 2.51, 83.177, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.198000,dd:f7:75:f0:61:9c, 0.167, 1.018, -0.538, -9.399, -5.005, 16.907, 119.691, 2.362, 83.04, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.257000,dd:f7:75:f0:61:9c, 0.032, 1.018, -0.538, -9.399, -5.005, 16.907, 119.581, 2.214, 82.919, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.257000,dd:f7:75:f0:61:9c, 0.032, 0.752, -0.4, -13.977, -7.263, -5.676, 118.455, 1.829, 82.584, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.257000,dd:f7:75:f0:61:9c, 0.008, 0.752, -0.4, -13.977, -7.263, -5.676, 118.312, 1.884, 82.557, 44.120, -36.273, 17.407, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.289000,dd:f7:75:f0:61:9c, -0.008, 0.649, -0.365, -5.249, -10.376, -7.141, 117.894, 2.417, 82.288, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.289000,dd:f7:75:f0:61:9c, -0.003, 0.649, -0.365, -5.249, -10.376, -7.141, 117.944, 2.329, 82.343, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.289000,dd:f7:75:f0:61:9c, -0.003, 0.711, -0.38, -8.85, -9.338, -8.179, 118.218, 1.972, 82.524, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.318000,dd:f7:75:f0:61:9c, -0.008, 0.636, -0.372, -1.892, -11.108, -6.409, 117.872, 2.499, 82.227, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.318000,dd:f7:75:f0:61:9c, 0.002, 0.636, -0.372, -1.892, -11.108, -6.409, 117.856, 2.582, 82.161, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.318000,dd:f7:75:f0:61:9c, 0.002, 0.637, -0.385, 0, -11.047, -5.859, 117.856, 2.659, 82.09, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.348000,dd:f7:75:f0:61:9c, 0.012, 0.637, -0.385, 0, -11.047, -5.859, 117.861, 2.741, 82.024, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.348000,dd:f7:75:f0:61:9c, 0.012, 0.66, -0.41, 3.54, -10.803, -5.859, 117.9, 2.818, 81.953, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.348000,dd:f7:75:f0:61:9c, 0.041, 0.66, -0.41, 3.54, -10.803, -5.859, 117.938, 2.895, 81.887, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.379000,dd:f7:75:f0:61:9c, 0.059, 0.737, -0.449, 6.042, -5.981, -5.615, 118.103, 3.076, 81.744, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.379000,dd:f7:75:f0:61:9c, 0.041, 0.708, -0.431, 3.845, -9.094, -5.737, 117.988, 2.961, 81.832, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.379000,dd:f7:75:f0:61:9c, 0.059, 0.708, -0.431, 3.845, -9.094, -5.737, 118.032, 3.027, 81.771, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.409000,dd:f7:75:f0:61:9c, 0.062, 0.737, -0.449, 6.042, -5.981, -5.615, 118.174, 3.12, 81.716, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.409000,dd:f7:75:f0:61:9c, 0.062, 0.782, -0.469, 7.69, -2.93, -6.47, 118.262, 3.159, 81.722, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.409000,dd:f7:75:f0:61:9c, 0.052, 0.782, -0.469, 7.69, -2.93, -6.47, 118.35, 3.197, 81.727, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.439000,dd:f7:75:f0:61:9c, 0.052, 0.871, -0.508, 6.226, -0.671, -8.179, 118.427, 3.241, 81.755, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.439000,dd:f7:75:f0:61:9c, 0.065, 0.871, -0.508, 6.226, -0.671, -8.179, 118.499, 3.279, 81.788, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.439000,dd:f7:75:f0:61:9c, 0.037, 0.889, -0.526, 2.869, 2.075, -9.155, 118.542, 3.312, 81.848, 42.220, -38.787, 15.413, 29.47, 0.38284, 0.61008, 0.60596, 0.33755
2025-06-14 21:04:09.468000,dd:f7:75:f0:61:9c, 0.064, 0.446, -0.282, 2.869, 2.075, -9.155, 118.586, 3.351, 81.909, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.468000,dd:f7:75:f0:61:9c, 0.064, 0.942, -0.563, 4.028, 5.31, -10.254, 118.641, 3.378, 82.002, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.468000,dd:f7:75:f0:61:9c, 0.056, 0.942, -0.563, 4.028, 5.31, -10.254, 118.696, 3.4, 82.095, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.498000,dd:f7:75:f0:61:9c, 0.056, 0.971, -0.576, 2.808, 10.071, -10.803, 118.746, 3.411, 82.233, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.498000,dd:f7:75:f0:61:9c, 0.028, 0.971, -0.576, 2.808, 10.071, -10.803, 118.79, 3.422, 82.375, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.498000,dd:f7:75:f0:61:9c, 0.028, 0.979, -0.573, 3.113, 14.465, -11.108, 118.845, 3.411, 82.551, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.558000,dd:f7:75:f0:61:9c, -0.076, 0.946, -0.534, 2.625, 16.907, -11.414, 118.987, 3.373, 83.134, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.558000,dd:f7:75:f0:61:9c, -0.005, 0.946, -0.534, 2.625, 16.907, -11.414, 118.943, 3.384, 82.93, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.558000,dd:f7:75:f0:61:9c, -0.005, 0.979, -0.573, 3.113, 14.465, -11.108, 118.894, 3.4, 82.727, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.589000,dd:f7:75:f0:61:9c, -0.076, 1.041, -0.622, 18.616, 16.663, -13, 119.196, 3.373, 83.342, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.589000,dd:f7:75:f0:61:9c, -0.078, 1.041, -0.622, 18.616, 16.663, -13, 119.399, 3.378, 83.551, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.589000,dd:f7:75:f0:61:9c, -0.078, 1.052, -0.557, -5.554, 15.076, -12.146, 119.361, 3.389, 83.738, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.620000,dd:f7:75:f0:61:9c, -0.14, 1.052, -0.557, -5.554, 15.076, -12.146, 119.317, 3.4, 83.925, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.620000,dd:f7:75:f0:61:9c, -0.14, 0.83, -0.406, 7.324, 13.611, -11.902, 119.405, 3.422, 84.1, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.621000,dd:f7:75:f0:61:9c, -0.198, 0.83, -0.406, 7.324, 13.611, -11.902, 119.487, 3.444, 84.282, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.647000,dd:f7:75:f0:61:9c, -0.223, 0.897, -0.417, 18.555, 8.789, -13.916, 119.68, 3.516, 84.43, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.647000,dd:f7:75:f0:61:9c, -0.223, 0.965, -0.455, 15.747, 4.639, -13.733, 119.85, 3.598, 84.562, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.647000,dd:f7:75:f0:61:9c, -0.206, 0.965, -0.455, 15.747, 4.639, -13.733, 120.004, 3.697, 84.683, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
2025-06-14 21:04:09.679000,dd:f7:75:f0:61:9c, -0.206, 1.018, -0.505, 13.977, 2.502, -11.475, 120.146, 3.796, 84.787, 42.220, -38.787, 15.413, 29.47, 0.40228, 0.63962, 0.57373, 0.31586
