时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:57:24.397000,dd:f7:75:f0:61:9c, -0.104, 0.828, -0.55, -1.099, 0.061, -0.61, 123.981, 5.51, 83.007, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.397000,dd:f7:75:f0:61:9c, -0.101, 0.828, -0.55, -1.099, 0.061, -0.61, 123.97, 5.515, 83.013, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.397000,dd:f7:75:f0:61:9c, -0.101, 0.817, -0.543, -1.587, 0.183, 0.061, 123.953, 5.515, 83.013, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.427000,dd:f7:75:f0:61:9c, -0.105, 0.811, -0.54, -0.916, -0.061, 0.732, 123.926, 5.51, 83.007, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.427000,dd:f7:75:f0:61:9c, -0.099, 0.811, -0.54, -0.916, -0.061, 0.732, 123.915, 5.504, 83.007, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.427000,dd:f7:75:f0:61:9c, -0.105, 0.817, -0.543, -1.587, 0.183, 0.061, 123.937, 5.515, 83.013, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.458000,dd:f7:75:f0:61:9c, -0.099, 0.818, -0.543, -0.244, -0.61, 1.16, 123.915, 5.504, 82.996, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.458000,dd:f7:75:f0:61:9c, -0.088, 0.818, -0.543, -0.244, -0.61, 1.16, 123.909, 5.499, 82.991, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.458000,dd:f7:75:f0:61:9c, -0.088, 0.82, -0.542, -0.488, -0.183, 1.465, 123.898, 5.488, 82.985, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.489000,dd:f7:75:f0:61:9c, -0.083, 0.82, -0.542, -0.488, -0.183, 1.465, 123.893, 5.477, 82.98, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.489000,dd:f7:75:f0:61:9c, -0.081, 0.814, -0.542, -0.244, 0.671, 1.16, 123.887, 5.466, 82.98, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.489000,dd:f7:75:f0:61:9c, -0.081, 0.824, -0.548, 0, 1.709, 0.488, 123.887, 5.455, 82.991, 44.820, -33.907, 16.960, 29.22, 0.37863, 0.64539, 0.6019, 0.27872
2025-06-14 20:57:24.547000,dd:f7:75:f0:61:9c, -0.096, 0.822, -0.544, -0.244, 2.869, -0.916, 123.882, 5.394, 83.117, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.547000,dd:f7:75:f0:61:9c, -0.091, 0.824, -0.548, 0, 1.709, 0.488, 123.887, 5.438, 83.002, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.547000,dd:f7:75:f0:61:9c, -0.096, 0.819, -0.543, -0.671, 2.563, -1.099, 123.882, 5.389, 83.15, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.549000,dd:f7:75:f0:61:9c, -0.095, 0.819, -0.543, -0.671, 2.563, -1.099, 123.876, 5.383, 83.183, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.549000,dd:f7:75:f0:61:9c, -0.095, 0.816, -0.544, -0.183, 2.197, -0.61, 123.871, 5.372, 83.21, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.549000,dd:f7:75:f0:61:9c, -0.101, 0.816, -0.544, -0.183, 2.197, -0.61, 123.871, 5.367, 83.238, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.577000,dd:f7:75:f0:61:9c, -0.101, 0.811, -0.543, 0.549, 1.892, -0.122, 123.876, 5.35, 83.276, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.577000,dd:f7:75:f0:61:9c, -0.101, 0.813, -0.543, 0.793, 0.732, -0.305, 123.882, 5.345, 83.287, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.577000,dd:f7:75:f0:61:9c, -0.101, 0.811, -0.543, 0.549, 1.892, -0.122, 123.871, 5.361, 83.26, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.608000,dd:f7:75:f0:61:9c, -0.093, 0.819, -0.549, 1.282, 0.366, -0.244, 123.904, 5.345, 83.309, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.608000,dd:f7:75:f0:61:9c, -0.091, 0.819, -0.549, 1.282, 0.366, -0.244, 123.915, 5.345, 83.32, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.608000,dd:f7:75:f0:61:9c, -0.093, 0.813, -0.543, 0.793, 0.732, -0.305, 123.893, 5.345, 83.304, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.638000,dd:f7:75:f0:61:9c, -0.091, 0.821, -0.55, 1.038, 0.366, -0.183, 123.926, 5.35, 83.326, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.638000,dd:f7:75:f0:61:9c, -0.09, 0.821, -0.55, 1.038, 0.366, -0.183, 123.931, 5.35, 83.331, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.638000,dd:f7:75:f0:61:9c, -0.09, 0.818, -0.545, 0.671, 0.61, 0, 123.942, 5.345, 83.337, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.668000,dd:f7:75:f0:61:9c, -0.091, 0.818, -0.545, 0.671, 0.61, 0, 123.948, 5.345, 83.342, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.668000,dd:f7:75:f0:61:9c, -0.091, 0.814, -0.549, 0.977, 0.732, -0.122, 123.953, 5.339, 83.353, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.668000,dd:f7:75:f0:61:9c, -0.09, 0.814, -0.549, 0.977, 0.732, -0.122, 123.964, 5.339, 83.359, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.699000,dd:f7:75:f0:61:9c, -0.089, 0.81, -0.548, 1.099, 1.221, -0.427, 123.997, 5.328, 83.397, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.699000,dd:f7:75:f0:61:9c, -0.089, 0.817, -0.55, 1.099, 0.977, -0.305, 123.986, 5.334, 83.386, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.699000,dd:f7:75:f0:61:9c, -0.09, 0.817, -0.55, 1.099, 0.977, -0.305, 123.975, 5.334, 83.37, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.729000,dd:f7:75:f0:61:9c, -0.091, 0.81, -0.548, 1.099, 1.221, -0.427, 124.008, 5.328, 83.414, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.730000,dd:f7:75:f0:61:9c, -0.091, 0.816, -0.553, 1.465, 1.343, -0.671, 124.019, 5.323, 83.425, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.730000,dd:f7:75:f0:61:9c, -0.094, 0.816, -0.553, 1.465, 1.343, -0.671, 124.036, 5.323, 83.441, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.758000,dd:f7:75:f0:61:9c, -0.094, 0.82, -0.554, 0.854, 1.343, -0.671, 124.047, 5.323, 83.458, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.758000,dd:f7:75:f0:61:9c, -0.095, 0.82, -0.554, 0.854, 1.343, -0.671, 124.058, 5.317, 83.48, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
2025-06-14 20:57:24.758000,dd:f7:75:f0:61:9c, -0.095, 0.819, -0.55, 0.366, 1.16, -0.427, 124.063, 5.317, 83.496, 44.820, -33.907, 16.960, 29.22, 0.37964, 0.64536, 0.6008, 0.27985
