时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, -0.2, 1.05, -0.122, 64.636, 17.456, 6.287, 98.333, 5.757, -99.223, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, -0.2, 1.02, -0.208, 49.011, -45.593, 4.822, 98.943, 5.68, -99.388, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, 0.081, 1.02, -0.208, 49.011, -45.593, 4.822, 99.437, 5.669, -99.866, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, 0.081, 1.003, -0.291, 48.523, -55.115, 4.517, 99.921, 5.669, -100.393, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, 0.066, 1.003, -0.291, 48.523, -55.115, 4.517, 100.393, 5.685, -100.964, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.119000,da:19:a9:ac:6d:fe, 0.066, 0.945, -0.258, 52.795, -14.648, 4.456, 100.898, 5.669, -101.338, -39.200, -31.553, 18.773, 31.32, -0.47559, -0.43237, 0.43628, 0.62961
2025-06-14 21:04:09.147000,da:19:a9:ac:6d:fe, -0.103, 0.95, -0.188, 55.176, 25.391, 2.808, 102.612, 5.405, -101.283, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.147000,da:19:a9:ac:6d:fe, 0.002, 0.95, -0.188, 55.176, 25.391, 2.808, 102.019, 5.526, -101.497, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.147000,da:19:a9:ac:6d:fe, 0.002, 0.945, -0.258, 52.795, -14.648, 4.456, 101.448, 5.614, -101.519, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.178000,da:19:a9:ac:6d:fe, -0.103, 0.979, -0.195, 51.025, 30.884, 3.906, 103.184, 5.268, -101.052, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.178000,da:19:a9:ac:6d:fe, -0.169, 0.979, -0.195, 51.025, 30.884, 3.906, 103.727, 5.125, -100.8, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.178000,da:19:a9:ac:6d:fe, -0.169, 0.942, -0.136, 46.082, 7.141, 5.371, 104.233, 5.01, -100.662, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.207000,da:19:a9:ac:6d:fe, -0.011, 0.942, -0.136, 46.082, 7.141, 5.371, 104.7, 4.916, -100.646, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.207000,da:19:a9:ac:6d:fe, -0.011, 0.946, -0.164, 46.143, -7.996, 5.249, 105.15, 4.85, -100.706, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.207000,da:19:a9:ac:6d:fe, 0.046, 0.946, -0.164, 46.143, -7.996, 5.249, 105.59, 4.807, -100.838, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, 0.063, 1.031, -0.254, 57.251, -7.324, 7.385, 108.589, 4.307, -101.162, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, -0.028, 1.031, -0.254, 57.251, -7.324, 7.385, 108.056, 4.367, -101.03, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, -0.028, 0.961, -0.172, 53.162, 5.249, 7.202, 107.534, 4.449, -100.953, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, -0.082, 0.932, -0.259, 49.988, 4.333, 6.104, 106.534, 4.647, -100.931, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, 0.046, 0.932, -0.259, 49.988, 4.333, 6.104, 106.051, 4.735, -100.915, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.267000,da:19:a9:ac:6d:fe, -0.082, 0.961, -0.172, 53.162, 5.249, 7.202, 107.029, 4.548, -100.942, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.296000,da:19:a9:ac:6d:fe, 0.063, 1.058, -0.237, 64.392, 2.136, 7.751, 109.155, 4.23, -101.25, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.296000,da:19:a9:ac:6d:fe, 0.007, 1.058, -0.237, 64.392, 2.136, 7.751, 109.759, 4.131, -101.294, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.296000,da:19:a9:ac:6d:fe, 0.007, 1.063, -0.247, 74.158, 11.292, 8.545, 110.407, 4.01, -101.299, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.328000,da:19:a9:ac:6d:fe, 0.06, 1.063, -0.247, 74.158, 11.292, 8.545, 111.11, 3.873, -101.266, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.328000,da:19:a9:ac:6d:fe, 0.06, 1.138, -0.211, 85.327, 13.977, 10.62, 111.857, 3.724, -101.228, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.328000,da:19:a9:ac:6d:fe, 0.015, 1.138, -0.211, 85.327, 13.977, 10.62, 112.654, 3.554, -101.179, -39.200, -31.553, 18.773, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.356000,da:19:a9:ac:6d:fe, 0.015, 1.159, -0.197, 94.543, 9.705, 16.602, 113.494, 3.362, -101.173, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.356000,da:19:a9:ac:6d:fe, 0.098, 1.159, -0.197, 94.543, 9.705, 16.602, 114.368, 3.159, -101.195, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.356000,da:19:a9:ac:6d:fe, 0.098, 1.221, -0.219, 105.286, 0.427, 21.179, 115.285, 2.95, -101.277, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.389000,da:19:a9:ac:6d:fe, 0.14, 1.221, -0.219, 105.286, 0.427, 21.179, 116.246, 2.741, -101.415, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.389000,da:19:a9:ac:6d:fe, 0.14, 1.311, -0.225, 121.948, 8.911, 25.94, 117.285, 2.488, -101.53, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.389000,da:19:a9:ac:6d:fe, 0.116, 1.311, -0.225, 121.948, 8.911, 25.94, 118.4, 2.203, -101.624, -41.893, -18.853, 18.447, 31.32, -0.37976, -0.51334, 0.56937, 0.51764
2025-06-14 21:04:09.418000,da:19:a9:ac:6d:fe, 0.101, 1.405, -0.071, 141.724, 18.677, 27.71, 120.899, 1.533, -101.722, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.418000,da:19:a9:ac:6d:fe, 0.116, 1.405, -0.071, 141.724, 18.677, 27.71, 119.608, 1.884, -101.684, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.418000,da:19:a9:ac:6d:fe, 0.101, 1.494, 0, 159.363, 32.776, 26.733, 122.267, 1.154, -101.706, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, -0.303, 1.649, -0.118, 196.716, 126.038, 39.368, 131.699, -3.021, -99.388, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, 0.072, 2.008, 0.344, 188.843, 115.479, 25.452, 128.386, -1.099, -100.684, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, -0.303, 2.008, 0.344, 188.843, 115.479, 25.452, 130.034, -2.01, -100.02, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, 0.157, 1.724, 0.003, 174.072, 63.843, 26.733, 125.211, 0.242, -101.459, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, 0.157, 1.494, 0, 159.363, 32.776, 26.733, 123.712, 0.742, -101.64, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.508000,da:19:a9:ac:6d:fe, 0.072, 1.724, 0.003, 174.072, 63.843, 26.733, 126.771, -0.346, -101.162, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.525, 1.649, -0.118, 196.716, 126.038, 39.368, 133.391, -4.125, -98.784, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.525, 1.736, -0.516, 191.833, 66.65, 57.19, 135.06, -5.092, -98.481, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.323, 1.736, -0.516, 191.833, 66.65, 57.19, 136.73, -5.905, -98.47, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.323, 1.618, -0.204, 157.227, 33.447, 59.631, 138.235, -6.586, -98.597, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.264, 1.618, -0.204, 157.227, 33.447, 59.631, 139.581, -7.152, -98.849, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.537000,da:19:a9:ac:6d:fe, -0.264, 1.379, -0.133, 133.85, 39.062, 56.03, 140.806, -7.712, -99.086, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.567000,da:19:a9:ac:6d:fe, -0.275, 1.379, -0.133, 133.85, 39.062, 56.03, 141.905, -8.273, -99.289, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.567000,da:19:a9:ac:6d:fe, -0.275, 0.931, 0.386, 93.811, 80.2, 37.231, 142.773, -8.932, -99.305, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.567000,da:19:a9:ac:6d:fe, -0.116, 0.931, 0.386, 93.811, 80.2, 37.231, 143.388, -9.69, -99.119, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.597000,da:19:a9:ac:6d:fe, -0.071, 0.555, -0.603, -7.019, 21.057, 10.376, 144.465, -10.745, -99.025, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.597000,da:19:a9:ac:6d:fe, -0.116, 0.62, -0.875, 74.463, 33.813, 26.184, 143.921, -10.223, -99.031, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.597000,da:19:a9:ac:6d:fe, -0.071, 0.62, -0.875, 74.463, 33.813, 26.184, 144.393, -10.536, -99.042, -41.893, -18.853, 18.447, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.630000,da:19:a9:ac:6d:fe, 0.216, 0.555, -0.603, -7.019, 21.057, 10.376, 144.141, -10.865, -98.987, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.630000,da:19:a9:ac:6d:fe, 0.216, 0.537, 0.05, -63.049, 27.649, -7.935, 143.531, -10.953, -98.849, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.630000,da:19:a9:ac:6d:fe, 0.263, 0.537, 0.05, -63.049, 27.649, -7.935, 142.619, -11.019, -98.619, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.687000,da:19:a9:ac:6d:fe, 0.018, 0.474, 0.159, -154.175, 42.053, -41.077, 138.389, -11.536, -97.031, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.687000,da:19:a9:ac:6d:fe, 0.263, 0.451, 0.119, -106.14, 64.331, -24.292, 141.46, -11.184, -98.212, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.687000,da:19:a9:ac:6d:fe, 0.018, 0.451, 0.119, -106.14, 64.331, -24.292, 140.048, -11.437, -97.619, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.689000,da:19:a9:ac:6d:fe, 0.14, 0.407, 0.048, -201.294, -32.471, -58.594, 132.16, -10.349, -95.96, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.689000,da:19:a9:ac:6d:fe, -0.083, 0.407, 0.048, -201.294, -32.471, -58.594, 134.418, -11.085, -96.097, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.689000,da:19:a9:ac:6d:fe, -0.083, 0.474, 0.159, -154.175, 42.053, -41.077, 136.5, -11.481, -96.46, -40.687, -3.673, 12.413, 31.32, -0.30649, -0.55206, 0.66486, 0.39893
2025-06-14 21:04:09.717000,da:19:a9:ac:6d:fe, 0.14, 0.535, -0.247, -238.708, -75.867, -67.627, 129.76, -9.437, -95.993, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.717000,da:19:a9:ac:6d:fe, 0.095, 0.535, -0.247, -238.708, -75.867, -67.627, 127.216, -8.366, -96.213, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.717000,da:19:a9:ac:6d:fe, 0.095, 0.703, -0.167, -273.865, -58.35, -90.637, 124.508, -7.273, -96.345, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.747000,da:19:a9:ac:6d:fe, 0.113, 0.703, -0.167, -273.865, -58.35, -90.637, 121.63, -6.152, -96.394, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.747000,da:19:a9:ac:6d:fe, 0.113, 0.827, -0.11, -297.607, -53.65, -114.746, 118.652, -4.949, -96.427, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.747000,da:19:a9:ac:6d:fe, 0.393, 0.827, -0.11, -297.607, -53.65, -114.746, 115.571, -3.669, -96.449, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.778000,da:19:a9:ac:6d:fe, 0.725, 0.965, -0.368, -322.449, -76.416, -111.328, 109.122, -1.077, -97.048, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.778000,da:19:a9:ac:6d:fe, 0.725, 1.177, -0.636, -332.031, -36.194, -84.412, 105.82, -0.022, -97.361, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.778000,da:19:a9:ac:6d:fe, 0.393, 0.965, -0.368, -322.449, -76.416, -111.328, 112.39, -2.368, -96.658, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.806000,da:19:a9:ac:6d:fe, 0.537, 1.177, -0.636, -332.031, -36.194, -84.412, 102.497, 0.807, -97.564, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.806000,da:19:a9:ac:6d:fe, 0.537, 1.332, -0.948, -324.524, 32.593, -81.787, 99.256, 1.533, -97.476, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.806000,da:19:a9:ac:6d:fe, 0.072, 1.332, -0.948, -324.524, 32.593, -81.787, 96.097, 2.192, -97.075, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.837000,da:19:a9:ac:6d:fe, 0.072, 1.364, -1.038, -310.303, 43.03, -88.623, 93.049, 2.906, -96.636, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.837000,da:19:a9:ac:6d:fe, -0.191, 1.364, -1.038, -310.303, 43.03, -88.623, 90.115, 3.68, -96.169, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.837000,da:19:a9:ac:6d:fe, -0.191, 1.306, -1.155, -292.908, -33.447, -89.844, 87.275, 4.482, -96.097, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.867000,da:19:a9:ac:6d:fe, 0.482, 1.28, -1.392, -257.69, -93.872, -72.754, 79.497, 6.498, -97.982, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.867000,da:19:a9:ac:6d:fe, 0.198, 1.306, -1.155, -292.908, -33.447, -89.844, 84.518, 5.29, -96.427, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.867000,da:19:a9:ac:6d:fe, 0.198, 1.28, -1.392, -257.69, -93.872, -72.754, 81.925, 5.966, -97.064, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.900000,da:19:a9:ac:6d:fe, 0.289, 0.86, -1.423, -117.249, -43.03, -17.517, 74.306, 7.35, -99.904, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.900000,da:19:a9:ac:6d:fe, 0.482, 1.199, -1.604, -197.388, -77.209, -47.913, 77.399, 6.894, -98.784, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.900000,da:19:a9:ac:6d:fe, 0.289, 1.199, -1.604, -197.388, -77.209, -47.913, 75.63, 7.18, -99.459, -40.687, -3.673, 12.413, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.927000,da:19:a9:ac:6d:fe, -0.015, 0.86, -1.423, -117.249, -43.03, -17.517, 73.422, 7.427, -100.129, -36.407, -36.347, 10.213, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
2025-06-14 21:04:09.927000,da:19:a9:ac:6d:fe, -0.015, 0.611, -1.424, -34.851, -48.279, -12.085, 72.96, 7.476, -100.355, -36.407, -36.347, 10.213, 31.32, -0.31488, -0.58792, 0.71393, 0.21304
