时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:01:51.783000,da:19:a9:ac:6d:fe, 0.255, 0.741, -1.156, 28.32, -27.039, -13.428, 74.729, 5.103, -101.195, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.783000,da:19:a9:ac:6d:fe, 0.807, 0.741, -1.156, 28.32, -27.039, -13.428, 75.328, 5.219, -101.255, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.783000,da:19:a9:ac:6d:fe, 0.807, 1.184, -0.378, 87.585, -17.639, 16.174, 76.234, 5.202, -101.228, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.813000,da:19:a9:ac:6d:fe, 0.367, 1.184, -0.378, 87.585, -17.639, 16.174, 77.432, 5.037, -101.113, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.813000,da:19:a9:ac:6d:fe, 0.367, 1.803, 0.917, 83.069, -3.174, 26.245, 78.591, 4.812, -100.931, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.813000,da:19:a9:ac:6d:fe, -0.17, 1.803, 0.917, 83.069, -3.174, 26.245, 79.684, 4.51, -100.723, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.843000,da:19:a9:ac:6d:fe, 0.093, 0.885, -1.001, 74.646, -103.699, 16.846, 82.535, 3.604, -102.195, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.843000,da:19:a9:ac:6d:fe, -0.17, 0.918, 0.146, 80.811, -58.899, 9.216, 80.7, 4.219, -100.854, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.843000,da:19:a9:ac:6d:fe, 0.093, 0.918, 0.146, 80.811, -58.899, 9.216, 81.656, 3.972, -101.31, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.872000,da:19:a9:ac:6d:fe, -0.057, 0.885, -1.001, 74.646, -103.699, 16.846, 83.425, 3.263, -103.074, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.872000,da:19:a9:ac:6d:fe, -0.057, 1.32, -0.182, 79.346, -46.082, -19.592, 84.386, 3.367, -103.436, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.872000,da:19:a9:ac:6d:fe, 0.191, 1.32, -0.182, 79.346, -46.082, -19.592, 85.325, 3.472, -103.821, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.903000,da:19:a9:ac:6d:fe, -0.132, 0.902, -0.285, 60.669, -2.502, -10.071, 87.913, 3.455, -103.986, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.903000,da:19:a9:ac:6d:fe, 0.191, 0.937, -0.193, 77.148, -16.296, -3.113, 86.248, 3.444, -103.909, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.903000,da:19:a9:ac:6d:fe, -0.132, 0.937, -0.193, 77.148, -16.296, -3.113, 87.166, 3.406, -104.008, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.932000,da:19:a9:ac:6d:fe, 0.17, 1.137, -0.083, 56.763, 28.992, -4.883, 89.363, 3.505, -103.64, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
2025-06-14 21:01:51.932000,da:19:a9:ac:6d:fe, -0.045, 1.137, -0.083, 56.763, 28.992, -4.883, 90.06, 3.499, -103.332, -42.713, -19.740, 15.200, 31.32, -0.48196, -0.41226, 0.4584, 0.6225
