时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:59:38.829000,da:19:a9:ac:6d:fe, 0.271, 0.833, -0.251, -193.359, -49.011, -69.824, 116.526, -8.899, -96.454, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.829000,da:19:a9:ac:6d:fe, 0.531, 0.833, -0.251, -193.359, -49.011, -69.824, 114.543, -8.075, -96.63, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.829000,da:19:a9:ac:6d:fe, 0.531, 0.952, -0.358, -203.308, -29.48, -62.256, 112.516, -7.339, -96.757, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.861000,da:19:a9:ac:6d:fe, 0.51, 0.952, -0.358, -203.308, -29.48, -62.256, 110.446, -6.696, -96.839, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.861000,da:19:a9:ac:6d:fe, 0.51, 1.045, -0.395, -205.444, 17.273, -54.565, 108.364, -6.185, -96.729, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.861000,da:19:a9:ac:6d:fe, 0.233, 1.045, -0.395, -205.444, 17.273, -54.565, 106.271, -5.784, -96.427, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.890000,da:19:a9:ac:6d:fe, 0.041, 1.125, -0.469, -209.778, 12.207, -65.125, 99.998, -4.548, -95.191, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.890000,da:19:a9:ac:6d:fe, 0.233, 1.069, -0.447, -208.191, 38.696, -55.603, 104.172, -5.4, -96.031, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.890000,da:19:a9:ac:6d:fe, 0.041, 1.069, -0.447, -208.191, 38.696, -55.603, 102.074, -5.021, -95.543, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.922000,da:19:a9:ac:6d:fe, 0.212, 1.225, -0.525, -211.67, -49.927, -66.406, 93.928, -2.67, -95.812, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.922000,da:19:a9:ac:6d:fe, 0.07, 1.125, -0.469, -209.778, 12.207, -65.125, 97.943, -3.988, -94.971, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.922000,da:19:a9:ac:6d:fe, 0.07, 1.225, -0.525, -211.67, -49.927, -66.406, 95.933, -3.323, -95.383, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.949000,da:19:a9:ac:6d:fe, 0.212, 1.193, -0.611, -205.688, -93.689, -54.199, 92.021, -2.131, -96.696, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.949000,da:19:a9:ac:6d:fe, 0.309, 1.193, -0.611, -205.688, -93.689, -54.199, 90.121, -1.626, -97.586, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.949000,da:19:a9:ac:6d:fe, 0.309, 1.13, -0.835, -184.692, -95.093, -32.715, 88.445, -1.357, -98.492, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.981000,da:19:a9:ac:6d:fe, 0.217, 1.13, -0.835, -184.692, -95.093, -32.715, 86.781, -1.121, -99.399, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.981000,da:19:a9:ac:6d:fe, 0.217, 1.059, -0.875, -159.546, -67.139, -17.029, 85.386, -1.038, -100.003, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:38.981000,da:19:a9:ac:6d:fe, 0.046, 1.059, -0.875, -159.546, -67.139, -17.029, 84.007, -0.967, -100.607, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.011000,da:19:a9:ac:6d:fe, 0.032, 0.845, -1.061, -63.293, -32.776, -13.916, 81.947, -0.731, -101.486, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.011000,da:19:a9:ac:6d:fe, 0.032, 0.812, -1.16, -108.337, -41.626, -14.282, 82.321, -0.824, -101.261, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.011000,da:19:a9:ac:6d:fe, 0.046, 0.812, -1.16, -108.337, -41.626, -14.282, 83.15, -0.895, -100.937, -40.700, -6.847, 9.600, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.039000,da:19:a9:ac:6d:fe, -0.03, 0.845, -1.061, -63.293, -32.776, -13.916, 81.584, -0.637, -101.711, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.039000,da:19:a9:ac:6d:fe, -0.03, 0.752, -0.846, -13.367, -16.663, -13.672, 81.727, -0.511, -101.766, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.039000,da:19:a9:ac:6d:fe, 0.097, 0.752, -0.846, -13.367, -16.663, -13.672, 81.876, -0.379, -101.827, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.070000,da:19:a9:ac:6d:fe, 0.097, 0.649, -0.897, 36.133, -13.489, -9.827, 82.518, -0.28, -101.838, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.070000,da:19:a9:ac:6d:fe, 0.064, 0.649, -0.897, 36.133, -13.489, -9.827, 83.167, -0.176, -101.849, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.070000,da:19:a9:ac:6d:fe, 0.064, 1.034, -0.212, 56.152, 35.217, -6.042, 83.996, -0.055, -101.376, -42.333, -23.033, 10.920, 31.05, -0.39856, -0.53436, 0.65955, 0.34711
2025-06-14 20:59:39.099000,da:19:a9:ac:6d:fe, -0.156, 1.794, 1.108, 56.946, 50.659, -19.409, 86.303, 0.478, -99.811, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.099000,da:19:a9:ac:6d:fe, 0.016, 1.794, 1.108, 56.946, 50.659, -19.409, 85.583, 0.269, -100.344, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.099000,da:19:a9:ac:6d:fe, 0.016, 1.034, -0.212, 56.152, 35.217, -6.042, 84.809, 0.044, -100.915, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.160000,da:19:a9:ac:6d:fe, -0.156, 1.089, 0.073, 53.589, -68.848, 8.118, 86.951, 0.335, -100.464, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.160000,da:19:a9:ac:6d:fe, 0.151, 1.089, 0.073, 53.589, -68.848, 8.118, 87.589, 0.209, -101.129, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.160000,da:19:a9:ac:6d:fe, 0.151, 0.959, -0.793, 59.082, -130.859, 6.042, 88.286, 0.088, -102.404, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
2025-06-14 20:59:39.160000,da:19:a9:ac:6d:fe, 0.393, 0.959, -0.793, 59.082, -130.859, 6.042, 88.995, -0.016, -103.672, -42.333, -23.033, 10.920, 31.05, -0.47043, -0.42657, 0.51889, 0.57214
