时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:57:24.407000,da:19:a9:ac:6d:fe, 0.04, 0.989, -0.009, -0.366, -0.366, -0.244, 90.253, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.407000,da:19:a9:ac:6d:fe, 0.042, 0.989, -0.009, -0.366, -0.366, -0.244, 90.253, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.407000,da:19:a9:ac:6d:fe, 0.04, 0.984, -0.007, -0.427, 0.061, -0.244, 90.253, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.409000,da:19:a9:ac:6d:fe, 0.039, 0.989, -0.008, -0.366, 0.122, -0.183, 90.247, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.409000,da:19:a9:ac:6d:fe, 0.042, 0.993, -0.011, -0.305, 0, -0.244, 90.247, -2.01, -101.997, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.409000,da:19:a9:ac:6d:fe, 0.039, 0.993, -0.011, -0.305, 0, -0.244, 90.247, -2.01, -101.997, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.437000,da:19:a9:ac:6d:fe, 0.04, 0.989, -0.008, -0.366, 0.122, -0.183, 90.242, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.437000,da:19:a9:ac:6d:fe, 0.04, 0.989, -0.01, -0.366, 0.183, -0.244, 90.242, -2.01, -101.992, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.437000,da:19:a9:ac:6d:fe, 0.039, 0.989, -0.01, -0.366, 0.183, -0.244, 90.242, -2.01, -101.986, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.466000,da:19:a9:ac:6d:fe, 0.039, 0.988, -0.008, -0.305, 0.549, -0.183, 90.236, -2.005, -101.981, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.466000,da:19:a9:ac:6d:fe, 0.042, 0.988, -0.008, -0.305, 0.549, -0.183, 90.236, -2.005, -101.975, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.466000,da:19:a9:ac:6d:fe, 0.042, 0.988, -0.009, -0.366, 0.305, -0.183, 90.236, -2.005, -101.975, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.496000,da:19:a9:ac:6d:fe, 0.039, 0.989, -0.01, -0.244, 0.427, -0.244, 90.231, -2.005, -101.97, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.496000,da:19:a9:ac:6d:fe, 0.04, 0.989, -0.01, -0.244, 0.427, -0.244, 90.231, -2.005, -101.964, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.496000,da:19:a9:ac:6d:fe, 0.039, 0.988, -0.009, -0.366, 0.305, -0.183, 90.236, -2.005, -101.97, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.590000,da:19:a9:ac:6d:fe, 0.04, 0.986, -0.009, -0.305, 0.122, -0.183, 90.231, -2.005, -101.964, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
2025-06-14 20:57:24.590000,da:19:a9:ac:6d:fe, 0.042, 0.986, -0.009, -0.305, 0.122, -0.183, 90.231, -2.005, -101.959, -41.220, -14.027, 8.800, 30.59, -0.45361, -0.43631, 0.55844, 0.54025
