时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:04:09.140000,e3:4b:fa:59:d2:94, -0.414, 1.46, -0.192, -17.212, -46.692, -122.925, 92.263, 7.751, -20.643, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.140000,e3:4b:fa:59:d2:94, -0.429, 1.46, -0.192, -17.212, -46.692, -122.925, 92.488, 6.411, -20.204, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.140000,e3:4b:fa:59:d2:94, -0.429, 1.336, -0.164, -16.968, -54.688, -106.995, 92.708, 5.054, -19.764, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.141000,e3:4b:fa:59:d2:94, -0.414, 1.382, -0.163, -13.733, -41.016, -138.611, 92.071, 9.234, -21.022, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.141000,e3:4b:fa:59:d2:94, -0.405, 1.382, -0.163, -13.733, -41.016, -138.611, 91.873, 10.701, -21.396, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.141000,e3:4b:fa:59:d2:94, -0.405, 1.278, -0.093, -8.789, -46.753, -153.32, 91.708, 12.305, -21.83, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.172000,e3:4b:fa:59:d2:94, -0.352, 1.278, -0.093, -8.789, -46.753, -153.32, 91.527, 13.892, -22.264, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.172000,e3:4b:fa:59:d2:94, -0.352, 1.185, -0.051, -7.751, -52.429, -166.809, 91.335, 15.606, -22.764, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.172000,e3:4b:fa:59:d2:94, -0.335, 1.185, -0.051, -7.751, -52.429, -166.809, 91.121, 17.303, -23.264, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.206000,e3:4b:fa:59:d2:94, -0.326, 1.116, -0.061, -9.338, -56.519, -176.88, 90.588, 20.863, -24.384, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.206000,e3:4b:fa:59:d2:94, -0.326, 1.057, -0.069, -9.46, -59.448, -183.228, 90.275, 22.681, -24.994, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.206000,e3:4b:fa:59:d2:94, -0.335, 1.116, -0.061, -9.338, -56.519, -176.88, 90.862, 19.089, -23.818, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.261000,e3:4b:fa:59:d2:94, -0.347, 0.996, -0.057, -9.583, -64.575, -186.646, 89.561, 26.307, -26.312, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.261000,e3:4b:fa:59:d2:94, -0.35, 0.996, -0.057, -9.583, -64.575, -186.646, 89.143, 28.12, -27.032, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.261000,e3:4b:fa:59:d2:94, -0.347, 1.057, -0.069, -9.46, -59.448, -183.228, 89.945, 24.489, -25.615, -8.833, -46.047, -42.060, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.379000,e3:4b:fa:59:d2:94, -0.332, 0.917, -0.069, -9.644, -82.153, -183.899, 87.501, 33.42, -29.74, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.379000,e3:4b:fa:59:d2:94, -0.35, 0.953, -0.058, -9.827, -72.998, -187.195, 88.654, 29.916, -27.867, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.379000,e3:4b:fa:59:d2:94, -0.332, 0.953, -0.058, -9.827, -72.998, -187.195, 88.121, 31.696, -28.735, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.411000,e3:4b:fa:59:d2:94, -0.319, 0.917, -0.069, -9.644, -82.153, -183.899, 86.83, 35.129, -30.778, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.412000,e3:4b:fa:59:d2:94, -0.319, 0.895, -0.082, -9.216, -90.21, -176.453, 86.061, 36.733, -31.954, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.412000,e3:4b:fa:59:d2:94, -0.305, 0.895, -0.082, -9.216, -90.21, -176.453, 85.243, 38.32, -33.168, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.442000,e3:4b:fa:59:d2:94, -0.305, 0.88, -0.078, -8.972, -95.886, -165.283, 84.337, 39.765, -34.492, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.442000,e3:4b:fa:59:d2:94, -0.289, 0.88, -0.078, -8.972, -95.886, -165.283, 83.375, 41.188, -35.859, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.442000,e3:4b:fa:59:d2:94, -0.289, 0.882, -0.055, -10.62, -97.412, -150.269, 82.337, 42.429, -37.277, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.470000,e3:4b:fa:59:d2:94, -0.26, 0.893, -0.044, -14.038, -91.37, -132.263, 79.008, 45.659, -41.561, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.470000,e3:4b:fa:59:d2:94, -0.274, 0.893, -0.044, -14.038, -91.37, -132.263, 80.151, 44.665, -40.133, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.470000,e3:4b:fa:59:d2:94, -0.274, 0.882, -0.055, -10.62, -97.412, -150.269, 81.249, 43.643, -38.738, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.504000,e3:4b:fa:59:d2:94, -0.26, 0.886, -0.042, -17.09, -78.979, -111.145, 77.959, 46.445, -42.803, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.504000,e3:4b:fa:59:d2:94, -0.257, 0.886, -0.042, -17.09, -78.979, -111.145, 76.882, 47.214, -44.072, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.504000,e3:4b:fa:59:d2:94, -0.257, 0.886, -0.036, -18.372, -64.392, -87.097, 75.97, 47.758, -45.077, -7.233, -47.407, -50.507, 30.66, 0.67792, 0.71774, -0.14438, -0.06567
2025-06-14 21:04:09.530000,e3:4b:fa:59:d2:94, -0.259, 0.886, -0.036, -18.372, -64.392, -87.097, 75.042, 48.285, -46.093, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.530000,e3:4b:fa:59:d2:94, -0.259, 0.901, -0.003, -8.789, -4.883, 4.395, 72.565, 48.867, -48.23, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.530000,e3:4b:fa:59:d2:94, -0.27, 0.901, -0.003, -8.789, -4.883, 4.395, 72.653, 48.653, -48.016, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.563000,e3:4b:fa:59:d2:94, -0.335, 0.996, 0.014, 1.465, 20.691, 65.979, 75.207, 45.363, -44.522, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.563000,e3:4b:fa:59:d2:94, -0.309, 0.996, 0.014, 1.465, 20.691, 65.979, 74.647, 46.088, -45.275, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.563000,e3:4b:fa:59:d2:94, -0.309, 0.893, 0.011, -4.272, 3.662, 24.231, 72.938, 48.279, -47.593, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.589000,e3:4b:fa:59:d2:94, -0.335, 1.006, -0.011, 5.249, 33.081, 88.196, 75.954, 44.445, -43.555, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.589000,e3:4b:fa:59:d2:94, -0.317, 1.006, -0.011, 5.249, 33.081, 88.196, 76.663, 43.528, -42.627, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.589000,e3:4b:fa:59:d2:94, -0.317, 0.954, -0.007, 10.01, 44.312, 107.178, 77.52, 42.451, -41.528, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.626000,e3:4b:fa:59:d2:94, -0.314, 0.954, -0.007, 10.01, 44.312, 107.178, 78.333, 41.364, -40.479, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.627000,e3:4b:fa:59:d2:94, -0.314, 0.959, 0.005, 11.597, 57.312, 123.108, 79.25, 40.144, -39.271, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.627000,e3:4b:fa:59:d2:94, -0.331, 0.959, 0.005, 11.597, 57.312, 123.108, 80.107, 38.919, -38.112, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.651000,e3:4b:fa:59:d2:94, -0.356, 1.078, -0.012, 12.451, 86.67, 147.705, 82.875, 34.783, -34.146, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.651000,e3:4b:fa:59:d2:94, -0.356, 1.006, -0.004, 11.719, 72.266, 136.475, 81.936, 36.233, -35.541, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.651000,e3:4b:fa:59:d2:94, -0.331, 1.006, -0.004, 11.719, 72.266, 136.475, 81.052, 37.579, -36.799, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.681000,e3:4b:fa:59:d2:94, -0.396, 1.078, -0.012, 12.451, 86.67, 147.705, 83.76, 33.327, -32.816, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.681000,e3:4b:fa:59:d2:94, -0.396, 1.182, -0.009, 14.282, 94.666, 158.386, 84.65, 31.767, -31.437, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.681000,e3:4b:fa:59:d2:94, -0.426, 1.182, -0.009, 14.282, 94.666, 158.386, 85.485, 30.196, -30.114, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
2025-06-14 21:04:09.711000,e3:4b:fa:59:d2:94, -0.44, 1.245, 0.006, 15.808, 97.595, 167.786, 86.287, 28.526, -28.812, -7.233, -47.407, -50.507, 30.66, 0.56836, 0.6384, 0.0809, -0.51257
