时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:01:51.806000,e3:4b:fa:59:d2:94, -0.453, 0.893, 0.216, 9.399, 24.536, 58.533, 90.154, 1.692, -13.931, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.806000,e3:4b:fa:59:d2:94, -0.453, 0.884, 0.202, 8.606, 30.151, 61.34, 90.088, 2.153, -14.123, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.806000,e3:4b:fa:59:d2:94, -0.442, 0.891, 0.158, 3.784, 44.678, 59.57, 89.863, 4.092, -15.255, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.837000,e3:4b:fa:59:d2:94, -0.469, 0.893, 0.216, 9.399, 24.536, 58.533, 90.214, 1.247, -13.771, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.837000,e3:4b:fa:59:d2:94, -0.469, 0.92, 0.206, 8.423, 19.836, 52.49, 90.269, 0.84, -13.64, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.837000,e3:4b:fa:59:d2:94, -0.485, 0.92, 0.206, 8.423, 19.836, 52.49, 90.319, 0.461, -13.53, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.866000,e3:4b:fa:59:d2:94, -0.485, 0.957, 0.182, 7.08, 16.113, 43.152, 90.357, 0.137, -13.442, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.866000,e3:4b:fa:59:d2:94, -0.5, 0.957, 0.182, 7.08, 16.113, 43.152, 90.39, -0.132, -13.37, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.866000,e3:4b:fa:59:d2:94, -0.5, 0.977, 0.155, 6.165, 13.123, 29.907, 90.412, -0.341, -13.321, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.896000,e3:4b:fa:59:d2:94, -0.477, 0.982, 0.13, 6.104, 10.01, 12.695, 90.483, -0.5, -13.244, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
2025-06-14 21:01:51.896000,e3:4b:fa:59:d2:94, -0.497, 0.982, 0.13, 6.104, 10.01, 12.695, 90.461, -0.533, -13.255, -9.960, -48.227, -55.053, 30.69, 0.57751, 0.6488, 0.06787, -0.49072
