时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:59:38.853000,e3:4b:fa:59:d2:94, -0.331, 0.812, 0.167, -5.371, 47.546, 20.081, 85.968, 9.388, -31.915, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.853000,e3:4b:fa:59:d2:94, -0.326, 0.812, 0.167, -5.371, 47.546, 20.081, 85.984, 9.289, -31.443, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.854000,e3:4b:fa:59:d2:94, -0.326, 0.795, 0.149, -7.996, 47.241, 15.259, 85.984, 9.218, -30.981, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.856000,e3:4b:fa:59:d2:94, -0.325, 0.793, 0.138, -8.118, 44.739, 12.207, 85.924, 9.119, -29.652, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.856000,e3:4b:fa:59:d2:94, -0.328, 0.793, 0.138, -8.118, 44.739, 12.207, 85.952, 9.135, -30.075, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.856000,e3:4b:fa:59:d2:94, -0.328, 0.795, 0.149, -7.996, 47.241, 15.259, 85.968, 9.168, -30.52, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.883000,e3:4b:fa:59:d2:94, -0.325, 0.804, 0.159, -6.287, 39.001, 10.437, 85.908, 9.108, -29.257, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.883000,e3:4b:fa:59:d2:94, -0.318, 0.804, 0.159, -6.287, 39.001, 10.437, 85.886, 9.108, -28.889, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.883000,e3:4b:fa:59:d2:94, -0.318, 0.811, 0.186, -4.883, 32.104, 9.583, 85.869, 9.108, -28.559, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.914000,e3:4b:fa:59:d2:94, -0.313, 0.811, 0.186, -4.883, 32.104, 9.583, 85.853, 9.108, -28.268, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.914000,e3:4b:fa:59:d2:94, -0.313, 0.81, 0.189, -3.357, 26.794, 9.888, 85.836, 9.108, -28.01, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.914000,e3:4b:fa:59:d2:94, -0.321, 0.81, 0.189, -3.357, 26.794, 9.888, 85.82, 9.102, -27.773, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.944000,e3:4b:fa:59:d2:94, -0.321, 0.817, 0.189, -0.366, 22.278, 10.864, 85.814, 9.091, -27.565, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.944000,e3:4b:fa:59:d2:94, -0.341, 0.817, 0.189, -0.366, 22.278, 10.864, 85.82, 9.069, -27.378, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.944000,e3:4b:fa:59:d2:94, -0.341, 0.836, 0.21, 2.869, 15.32, 12.39, 85.831, 9.042, -27.23, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.974000,e3:4b:fa:59:d2:94, -0.344, 0.836, 0.21, 2.869, 15.32, 12.39, 85.853, 9.009, -27.114, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.974000,e3:4b:fa:59:d2:94, -0.344, 0.864, 0.232, 4.944, 7.996, 13.489, 85.875, 8.959, -27.037, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:38.974000,e3:4b:fa:59:d2:94, -0.331, 0.864, 0.232, 4.944, 7.996, 13.489, 85.902, 8.91, -27.004, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.005000,e3:4b:fa:59:d2:94, -0.327, 0.896, 0.224, 5.798, 4.456, 13.367, 85.952, 8.806, -26.982, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.005000,e3:4b:fa:59:d2:94, -0.327, 0.921, 0.216, 6.531, 2.869, 11.78, 85.979, 8.756, -26.988, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.005000,e3:4b:fa:59:d2:94, -0.331, 0.896, 0.224, 5.798, 4.456, 13.367, 85.93, 8.855, -26.982, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.035000,e3:4b:fa:59:d2:94, -0.327, 0.908, 0.221, 7.629, 0.183, 7.935, 86.039, 8.696, -27.032, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.035000,e3:4b:fa:59:d2:94, -0.319, 0.908, 0.221, 7.629, 0.183, 7.935, 86.072, 8.69, -27.076, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.035000,e3:4b:fa:59:d2:94, -0.327, 0.921, 0.216, 6.531, 2.869, 11.78, 86.006, 8.718, -27.004, -21.333, -44.700, -44.093, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.063000,e3:4b:fa:59:d2:94, -0.319, 0.879, 0.227, 7.812, -2.014, 1.77, 86.1, 8.712, -27.131, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.063000,e3:4b:fa:59:d2:94, -0.319, 0.879, 0.227, 7.812, -2.014, 1.77, 86.127, 8.767, -27.197, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.063000,e3:4b:fa:59:d2:94, -0.319, 0.862, 0.226, 7.385, -5.432, -6.226, 86.149, 8.855, -27.285, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.094000,e3:4b:fa:59:d2:94, -0.32, 0.862, 0.226, 7.385, -5.432, -6.226, 86.166, 8.987, -27.389, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.094000,e3:4b:fa:59:d2:94, -0.32, 0.872, 0.202, 7.629, -11.536, -14.954, 86.177, 9.157, -27.521, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.094000,e3:4b:fa:59:d2:94, -0.316, 0.872, 0.202, 7.629, -11.536, -14.954, 86.182, 9.366, -27.691, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.124000,e3:4b:fa:59:d2:94, -0.316, 0.918, 0.156, 8.728, -21.484, -29.968, 86.177, 10.201, -28.35, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.124000,e3:4b:fa:59:d2:94, -0.316, 0.903, 0.176, 7.996, -17.212, -22.888, 86.177, 9.888, -28.109, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.124000,e3:4b:fa:59:d2:94, -0.316, 0.903, 0.176, 7.996, -17.212, -22.888, 86.182, 9.608, -27.883, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.154000,e3:4b:fa:59:d2:94, -0.33, 0.918, 0.156, 8.728, -21.484, -29.968, 86.171, 10.541, -28.608, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.154000,e3:4b:fa:59:d2:94, -0.33, 0.947, 0.133, 8.362, -22.4, -35.583, 86.166, 10.909, -28.872, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.154000,e3:4b:fa:59:d2:94, -0.368, 0.947, 0.133, 8.362, -22.4, -35.583, 86.155, 11.299, -29.136, -5.160, -40.647, -39.173, 30.67, 0.68146, 0.66718, -0.13516, -0.26849
2025-06-14 20:59:39.213000,e3:4b:fa:59:d2:94, -0.368, 1.065, 0.102, 8.423, -20.996, -36.499, 86.144, 11.695, -29.383, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.213000,e3:4b:fa:59:d2:94, -0.397, 1.065, 0.102, 8.423, -20.996, -36.499, 86.138, 12.085, -29.619, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.213000,e3:4b:fa:59:d2:94, -0.397, 1.167, 0.07, 10.376, -16.052, -33.325, 86.166, 12.453, -29.8, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.245000,e3:4b:fa:59:d2:94, -0.39, 1.154, 0.056, 10.681, -8.362, -30.823, 86.309, 13.486, -30.125, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.245000,e3:4b:fa:59:d2:94, -0.402, 1.154, 0.056, 10.681, -8.362, -30.823, 86.254, 13.151, -30.048, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.245000,e3:4b:fa:59:d2:94, -0.402, 1.167, 0.07, 10.376, -16.052, -33.325, 86.199, 12.81, -29.965, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.276000,e3:4b:fa:59:d2:94, -0.39, 1.054, 0.048, 8.911, -3.296, -30.579, 86.364, 13.821, -30.141, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.276000,e3:4b:fa:59:d2:94, -0.364, 1.054, 0.048, 8.911, -3.296, -30.579, 86.418, 14.156, -30.157, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
2025-06-14 20:59:39.276000,e3:4b:fa:59:d2:94, -0.364, 0.958, 0.016, 5.005, 5.615, -34.241, 86.457, 14.535, -30.075, -5.160, -40.647, -39.173, 30.67, 0.68588, 0.67593, -0.10086, -0.24979
