时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:57:24.431000,e3:4b:fa:59:d2:94, -0.708, 0.704, -0.014, 0.305, -0.732, -0.244, 91.445, 45.022, -66.171, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.431000,e3:4b:fa:59:d2:94, -0.708, 0.707, -0.018, 0.549, -0.427, 0.244, 91.445, 45.022, -66.165, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.431000,e3:4b:fa:59:d2:94, -0.712, 0.707, -0.018, 0.549, -0.427, 0.244, 91.439, 45.022, -66.16, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.460000,e3:4b:fa:59:d2:94, -0.699, 0.704, -0.014, 0.305, -0.732, -0.244, 91.439, 45.027, -66.182, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.460000,e3:4b:fa:59:d2:94, -0.699, 0.706, -0.017, -0.366, 0, -0.488, 91.434, 45.027, -66.187, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.460000,e3:4b:fa:59:d2:94, -0.705, 0.706, -0.017, -0.366, 0, -0.488, 91.434, 45.033, -66.187, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.490000,e3:4b:fa:59:d2:94, -0.705, 0.705, -0.02, -0.671, 0.732, -0.732, 91.434, 45.044, -66.176, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.490000,e3:4b:fa:59:d2:94, -0.708, 0.705, -0.02, -0.671, 0.732, -0.732, 91.434, 45.049, -66.165, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.490000,e3:4b:fa:59:d2:94, -0.708, 0.703, -0.015, -0.793, 0.488, -0.916, 91.434, 45.055, -66.154, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.550000,e3:4b:fa:59:d2:94, -0.71, 0.701, -0.014, -0.977, 0.61, -0.61, 91.428, 45.077, -66.138, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.550000,e3:4b:fa:59:d2:94, -0.711, 0.701, -0.014, -0.977, 0.61, -0.61, 91.423, 45.082, -66.132, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.550000,e3:4b:fa:59:d2:94, -0.71, 0.703, -0.015, -0.793, 0.488, -0.916, 91.428, 45.066, -66.149, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.581000,e3:4b:fa:59:d2:94, -0.713, 0.707, -0.017, -0.305, -0.793, -0.671, 91.362, 45.099, -66.127, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.581000,e3:4b:fa:59:d2:94, -0.716, 0.699, -0.019, -0.916, 0.061, -0.244, 91.417, 45.088, -66.127, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.581000,e3:4b:fa:59:d2:94, -0.713, 0.707, -0.021, -0.427, -0.183, -0.061, 91.373, 45.088, -66.116, -4.780, -66.480, -19.847, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.611000,e3:4b:fa:59:d2:94, -0.705, 0.707, -0.017, -0.305, -0.793, -0.671, 91.357, 45.104, -66.138, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.611000,e3:4b:fa:59:d2:94, -0.706, 0.702, -0.019, -0.732, -0.366, -1.038, 91.313, 45.148, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.611000,e3:4b:fa:59:d2:94, -0.706, 0.698, -0.014, -0.793, -0.183, -0.916, 91.307, 45.159, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.640000,e3:4b:fa:59:d2:94, -0.702, 0.698, -0.014, -0.793, -0.183, -0.916, 91.296, 45.165, -66.165, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.640000,e3:4b:fa:59:d2:94, -0.702, 0.697, -0.018, -1.038, 0, -0.61, 91.291, 45.176, -66.165, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.640000,e3:4b:fa:59:d2:94, -0.7, 0.697, -0.018, -1.038, 0, -0.61, 91.28, 45.181, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.670000,e3:4b:fa:59:d2:94, -0.7, 0.703, -0.023, -1.038, 0.854, 0.061, 91.28, 45.181, -66.149, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.672000,e3:4b:fa:59:d2:94, -0.714, 0.704, -0.021, -0.793, 1.038, 0.366, 91.285, 45.176, -66.121, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.672000,e3:4b:fa:59:d2:94, -0.714, 0.703, -0.023, -1.038, 0.854, 0.061, 91.28, 45.176, -66.138, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.719, 0.704, -0.021, -0.793, 1.038, 0.366, 91.285, 45.17, -66.105, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.719, 0.702, -0.016, -0.427, 0, 0.061, 91.285, 45.17, -66.105, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.714, 0.702, -0.016, -0.427, 0, 0.061, 91.28, 45.17, -66.099, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.714, 0.7, -0.015, -0.366, -0.305, -0.244, 91.274, 45.176, -66.105, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.711, 0.7, -0.015, -0.366, -0.305, -0.244, 91.269, 45.176, -66.11, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.732000,e3:4b:fa:59:d2:94, -0.711, 0.698, -0.018, -0.305, -0.244, -0.427, 91.269, 45.181, -66.11, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.762000,e3:4b:fa:59:d2:94, -0.707, 0.698, -0.021, -0.244, -0.366, -0.549, 91.252, 45.203, -66.127, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.762000,e3:4b:fa:59:d2:94, -0.707, 0.698, -0.021, -0.244, -0.366, -0.549, 91.258, 45.192, -66.121, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.762000,e3:4b:fa:59:d2:94, -0.707, 0.698, -0.018, -0.305, -0.244, -0.427, 91.263, 45.187, -66.116, -4.753, -66.300, -20.420, 30.56, 0.39096, 0.7001, -0.13669, -0.58157
2025-06-14 20:57:24.821000,e3:4b:fa:59:d2:94, -0.707, 0.701, -0.022, -0.244, -0.183, -0.366, 91.252, 45.203, -66.127, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.821000,e3:4b:fa:59:d2:94, -0.711, 0.701, -0.022, -0.244, -0.183, -0.366, 91.247, 45.209, -66.132, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.821000,e3:4b:fa:59:d2:94, -0.711, 0.702, -0.021, -0.183, -0.183, -0.183, 91.247, 45.214, -66.132, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.851000,e3:4b:fa:59:d2:94, -0.709, 0.702, -0.021, -0.183, -0.183, -0.183, 91.247, 45.214, -66.138, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.851000,e3:4b:fa:59:d2:94, -0.709, 0.701, -0.017, 0, -0.549, -0.122, 91.241, 45.22, -66.143, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.851000,e3:4b:fa:59:d2:94, -0.709, 0.701, -0.017, 0, -0.549, -0.122, 91.241, 45.22, -66.149, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.943000,e3:4b:fa:59:d2:94, -0.71, 0.701, -0.013, -0.183, -0.061, -0.183, 91.236, 45.225, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.943000,e3:4b:fa:59:d2:94, -0.71, 0.701, -0.013, 0, -0.305, -0.061, 91.236, 45.22, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.943000,e3:4b:fa:59:d2:94, -0.709, 0.701, -0.013, 0, -0.305, -0.061, 91.236, 45.22, -66.154, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.970000,e3:4b:fa:59:d2:94, -0.708, 0.701, -0.013, -0.183, -0.061, -0.183, 91.236, 45.225, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.970000,e3:4b:fa:59:d2:94, -0.708, 0.699, -0.014, -0.427, 0, -0.427, 91.23, 45.231, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:24.970000,e3:4b:fa:59:d2:94, -0.707, 0.699, -0.014, -0.427, 0, -0.427, 91.23, 45.236, -66.16, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.001000,e3:4b:fa:59:d2:94, -0.707, 0.701, -0.019, -0.793, 0.488, -0.488, 91.225, 45.242, -66.154, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.001000,e3:4b:fa:59:d2:94, -0.708, 0.701, -0.019, -0.793, 0.488, -0.488, 91.225, 45.247, -66.143, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.001000,e3:4b:fa:59:d2:94, -0.708, 0.701, -0.024, -0.793, 0.916, -0.488, 91.225, 45.253, -66.132, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.032000,e3:4b:fa:59:d2:94, -0.718, 0.699, -0.019, -0.61, 0.671, -0.427, 91.236, 45.269, -66.099, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.032000,e3:4b:fa:59:d2:94, -0.713, 0.699, -0.019, -0.61, 0.671, -0.427, 91.23, 45.264, -66.11, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.032000,e3:4b:fa:59:d2:94, -0.713, 0.701, -0.024, -0.793, 0.916, -0.488, 91.23, 45.258, -66.116, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.061000,e3:4b:fa:59:d2:94, -0.712, 0.699, -0.011, -0.61, 0.122, -0.366, 91.23, 45.269, -66.094, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
2025-06-14 20:57:25.061000,e3:4b:fa:59:d2:94, -0.712, 0.703, -0.018, -0.549, -0.305, -0.061, 91.198, 45.286, -66.116, -4.753, -66.300, -20.420, 30.56, 0.39114, 0.69965, -0.13477, -0.58243
