时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:04:09.172000,f8:a2:fd:ea:fb:80, -0.085, 0.622, -0.171, 33.264, -8.667, -20.752, 138.719, 30.399, -131.721, -21.413, -25.933, 49.447, 31.1, 0.02362, -0.46268, 0.76404, 0.44888
2025-06-14 21:04:09.233000,f8:a2:fd:ea:fb:80, -0.566, 0.534, -0.089, -216.37, 56.152, 76.965, 125.612, 25.027, -134.665, -21.413, -25.933, 49.447, 31.1, 0.02362, -0.46268, 0.76404, 0.44888
2025-06-14 21:04:09.322000,f8:a2:fd:ea:fb:80, -0.791, 1.188, -0.356, -293.762, -90.515, 105.164, 95.911, 15.798, -141.894, -21.660, -36.633, 55.920, 31.1, -0.1969, -0.25613, 0.56268, 0.76083
2025-06-14 21:04:09.442000,f8:a2:fd:ea:fb:80, -0.469, 1.281, -1.559, -207.886, -22.034, 60.303, 68.5, 7.498, -142.625, -21.660, -36.633, 55.920, 31.1, -0.1969, -0.25613, 0.56268, 0.76083
2025-06-14 21:04:09.534000,f8:a2:fd:ea:fb:80, -0.262, 1.953, 0.431, 142.029, -1.526, -45.532, 71.664, 9.058, -140.548, -27.300, -56.640, 38.533, 31.1, -0.1969, -0.25613, 0.56268, 0.76083
2025-06-14 21:04:09.627000,f8:a2:fd:ea:fb:80, -0.159, 0.969, -0.122, 114.99, 5.127, -16.418, 86.402, 14.48, -131.71, -27.300, -56.640, 38.533, 31.1, -0.20807, -0.37463, 0.59869, 0.67661
2025-06-14 21:04:09.743000,f8:a2:fd:ea:fb:80, -0.102, 1.088, -0.187, 51.147, 28.32, -8.911, 95.669, 15.43, -125.903, -27.300, -56.640, 38.533, 31.1, -0.20807, -0.37463, 0.59869, 0.67661
2025-06-14 21:04:09.894000,f8:a2:fd:ea:fb:80, -0.258, 1.018, -0.26, 46.631, -24.841, -0.854, 100.453, 15.535, -126.233, -30.047, -44.120, 48.920, 31.1, -0.20807, -0.37463, 0.59869, 0.67661
2025-06-14 21:04:09.923000,f8:a2:fd:ea:fb:80, -0.274, 1.017, -0.25, 68.97, -24.902, -15.137, 105.529, 16.589, -129.65, -30.047, -44.120, 48.920, 31.1, -0.1507, -0.41409, 0.67584, 0.5907
2025-06-14 21:04:10.043000,f8:a2:fd:ea:fb:80, -0.086, 1.288, -0.148, 122.803, 5.554, -40.344, 115.318, 19.017, -128.568, -30.047, -44.120, 48.920, 31.1, -0.1507, -0.41409, 0.67584, 0.5907
2025-06-14 21:04:10.162000,f8:a2:fd:ea:fb:80, 0.046, 1.691, -0.668, 182.068, -22.644, -75.867, 129.886, 25.4, -130.215, -16.647, -15.993, 56.127, 31.1, -0.1507, -0.41409, 0.67584, 0.5907
2025-06-14 21:04:10.223000,f8:a2:fd:ea:fb:80, -0.253, 0.701, -0.195, 31.25, -22.339, -13.855, 140.098, 30.262, -131.435, -16.647, -15.993, 56.127, 31.1, 0.08398, -0.44437, 0.78885, 0.41605
2025-06-14 21:04:10.342000,f8:a2:fd:ea:fb:80, -0.402, 0.52, -0.015, -240.967, 26.428, 85.876, 123.761, 24.45, -134.868, -16.647, -15.993, 56.127, 31.1, 0.08398, -0.44437, 0.78885, 0.41605
2025-06-14 21:04:10.493000,f8:a2:fd:ea:fb:80, -0.63, 1.279, -0.893, -291.931, -82.336, 103.21, 93.197, 15.507, -142.861, -21.560, -45.520, 51.500, 31.1, 0.08398, -0.44437, 0.78885, 0.41605
2025-06-14 21:04:10.522000,f8:a2:fd:ea:fb:80, -0.118, 1.014, -1.507, -120.544, -23.987, 33.997, 68.983, 7.778, -143.015, -21.560, -45.520, 51.500, 31.1, -0.22241, -0.23352, 0.52121, 0.79007
2025-06-14 21:04:10.644000,f8:a2:fd:ea:fb:80, -0.153, 1.684, 0.676, 102.295, 41.87, -33.936, 73.971, 11.085, -139.384, -21.560, -45.520, 51.500, 31.1, -0.22241, -0.23352, 0.52121, 0.79007
2025-06-14 21:04:10.735000,f8:a2:fd:ea:fb:80, -0.101, 1.024, -0.112, 82.642, -2.93, -8.728, 86.133, 14.958, -133.165, -28.213, -53.173, 45.200, 31.1, -0.22241, -0.23352, 0.52121, 0.79007
2025-06-14 21:04:10.822000,f8:a2:fd:ea:fb:80, -0.135, 1.021, -0.164, 41.382, 47.058, -16.663, 93.488, 15.974, -129.183, -28.213, -53.173, 45.200, 31.1, -0.20087, -0.405, 0.61362, 0.64728
2025-06-14 21:04:10.943000,f8:a2:fd:ea:fb:80, -0.213, 0.951, -0.187, 55.237, -17.09, -4.883, 98.542, 16.315, -127.496, -28.213, -53.173, 45.200, 31.1, -0.20087, -0.405, 0.61362, 0.64728
2025-06-14 21:04:11.035000,f8:a2:fd:ea:fb:80, -0.169, 1.08, -0.099, 87.158, -11.108, -20.325, 104.59, 17.166, -131.061, -25.007, -36.287, 51.113, 31.1, -0.20087, -0.405, 0.61362, 0.64728
2025-06-14 21:04:11.123000,f8:a2:fd:ea:fb:80, -0.04, 1.792, 0.442, 184.143, -54.81, -44.678, 117.048, 20.413, -130.259, -25.007, -36.287, 51.113, 31.1, -0.09131, -0.43631, 0.71545, 0.53787
2025-06-14 21:04:11.272000,f8:a2:fd:ea:fb:80, 0.098, 1.838, -0.499, 182.739, -18.616, -76.66, 133.945, 27.966, -131.561, -25.007, -36.287, 51.113, 31.1, -0.09131, -0.43631, 0.71545, 0.53787
2025-06-14 21:04:11.333000,f8:a2:fd:ea:fb:80, -0.235, 0.375, 0.106, -90.515, 20.325, 8.484, 135.346, 29.85, -132.078, -25.007, -36.287, 51.113, 31.1, -0.09131, -0.43631, 0.71545, 0.53787
2025-06-14 21:04:11.453000,f8:a2:fd:ea:fb:80, -0.48, 0.623, -0.026, -273.193, -4.456, 99.121, 112.291, 21.478, -133.83, -17.153, -21.307, 59.147, 31.1, -0.13058, -0.35098, 0.655, 0.65622
2025-06-14 21:04:11.574000,f8:a2:fd:ea:fb:80, -0.457, 1.359, -1.284, -289.856, -17.761, 103.577, 81.705, 11.766, -141.636, -17.153, -21.307, 59.147, 31.1, -0.13058, -0.35098, 0.655, 0.65622
2025-06-14 21:04:11.663000,f8:a2:fd:ea:fb:80, -0.025, 0.779, -1.51, 12.207, -55.542, 21.484, 69.67, 5.845, -142.806, -17.153, -21.307, 59.147, 31.1, -0.13058, -0.35098, 0.655, 0.65622
2025-06-14 21:04:11.844000,f8:a2:fd:ea:fb:80, -0.06, 1.099, -0.646, 98.755, 55.847, -18.127, 81.464, 12.079, -134.588, -26.233, -56.200, 39.273, 31.1, -0.13058, -0.35098, 0.655, 0.65622
2025-06-14 21:04:11.873000,f8:a2:fd:ea:fb:80, -0.199, 1.02, -0.159, 44.128, 60.303, -16.663, 90.621, 13.464, -132.676, -26.233, -56.200, 39.273, 31.1, -0.2034, -0.36099, 0.61496, 0.67084
2025-06-14 21:04:11.964000,f8:a2:fd:ea:fb:80, -0.135, 0.996, -0.157, 54.199, -8.789, -10.803, 97.02, 14.628, -130.062, -26.233, -56.200, 39.273, 31.1, -0.2034, -0.36099, 0.61496, 0.67084
2025-06-14 21:04:12.083000,f8:a2:fd:ea:fb:80, -0.25, 0.978, -0.246, 68.359, -22.095, -14.465, 102.805, 15.749, -132.929, -26.233, -56.200, 39.273, 31.1, -0.2034, -0.36099, 0.61496, 0.67084
2025-06-14 21:04:12.172000,f8:a2:fd:ea:fb:80, -0.242, 1.387, -0.047, 126.77, 7.08, -51.147, 111.764, 18.457, -132.094, -22.907, -28.920, 53.180, 31.1, -0.0011, -0.4332, 0.75946, 0.48523
