时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:01:51.839000,f8:a2:fd:ea:fb:80, -0.193, 1.092, -0.2, 75.195, 6.836, -32.959, 107.611, 16.924, -132.654, -26.727, -46.020, 50.807, 31.04, -0.13977, -0.39105, 0.68527, 0.59818
2025-06-14 21:01:51.928000,f8:a2:fd:ea:fb:80, -0.089, 1.686, 0.209, 151.184, -65.918, -51.819, 117.466, 21.022, -133.588, -15.440, -24.313, 56.180, 31.04, -0.13977, -0.39105, 0.68527, 0.59818
2025-06-14 21:01:52.049000,f8:a2:fd:ea:fb:80, -0.194, 1.33, -0.125, 127.014, -36.438, -61.951, 131.171, 28.411, -136.077, -15.440, -24.313, 56.180, 31.04, 0.07996, -0.4241, 0.78693, 0.44092
2025-06-14 21:01:52.139000,f8:a2:fd:ea:fb:80, -0.377, 0.465, 0.115, -71.777, 38.513, 33.447, 133.495, 30.174, -138.318, -15.440, -24.313, 56.180, 31.04, 0.07996, -0.4241, 0.78693, 0.44092
2025-06-14 21:01:52.229000,f8:a2:fd:ea:fb:80, -0.264, 0.651, -0.019, -221.741, 2.808, 96.375, 115.796, 21.649, -140.966, -16.780, -30.547, 59.640, 31.04, 0.07996, -0.4241, 0.78693, 0.44092
2025-06-14 21:01:52.349000,f8:a2:fd:ea:fb:80, -0.39, 1.381, -0.842, -273.682, 3.052, 92.346, 88.989, 13.2, -145.92, -16.780, -30.547, 59.640, 31.04, -0.11826, -0.28973, 0.65558, 0.68716
2025-06-14 21:01:52.440000,f8:a2:fd:ea:fb:80, -0.321, 0.933, -1.368, -57.129, -60.791, 33.508, 70.659, 7.883, -143.784, -16.780, -30.547, 59.640, 31.04, -0.11826, -0.28973, 0.65558, 0.68716
2025-06-14 21:01:52.528000,f8:a2:fd:ea:fb:80, -0.208, 1.114, 0.215, 46.326, 136.902, -33.142, 78.437, 10.388, -140.57, -26.067, -56.993, 39.487, 31.04, -0.11826, -0.28973, 0.65558, 0.68716
2025-06-14 21:01:52.651000,f8:a2:fd:ea:fb:80, -0.137, 1.151, -0.084, 69.275, 15.259, 0.549, 88.204, 13.156, -133.352, -26.067, -56.993, 39.487, 31.04, -0.20654, -0.3548, 0.61014, 0.67755
2025-06-14 21:01:52.740000,f8:a2:fd:ea:fb:80, -0.09, 1.018, -0.112, 47.302, 6.775, -5.066, 94.752, 13.299, -130.375, -26.067, -56.993, 39.487, 31.04, -0.20654, -0.3548, 0.61014, 0.67755
2025-06-14 21:01:52.831000,f8:a2:fd:ea:fb:80, -0.152, 0.958, -0.214, 37.72, -7.629, -8.179, 98.998, 13.766, -130.946, -26.067, -56.993, 39.487, 31.04, -0.20654, -0.3548, 0.61014, 0.67755
2025-06-14 21:01:52.949000,f8:a2:fd:ea:fb:80, -0.315, 0.989, -0.256, 45.898, -7.996, -8.057, 103.024, 14.387, -132.44, -29.020, -44.833, 50.060, 31.04, -0.14615, -0.3855, 0.69095, 0.59372
2025-06-14 21:01:53.039000,f8:a2:fd:ea:fb:80, -0.24, 1.053, -0.209, 71.96, 11.047, -29.541, 108.644, 15.815, -132.814, -29.020, -44.833, 50.060, 31.04, -0.14615, -0.3855, 0.69095, 0.59372
2025-06-14 21:01:53.130000,f8:a2:fd:ea:fb:80, -0.171, 1.678, 0.175, 149.109, -83.496, -49.377, 118.916, 20.506, -134.346, -29.020, -44.833, 50.060, 31.04, -0.14615, -0.3855, 0.69095, 0.59372
2025-06-14 21:01:53.280000,f8:a2:fd:ea:fb:80, -0.123, 1.402, -0.547, 159.973, -56.274, -66.833, 132.77, 27.751, -135.818, -17.833, -24.133, 56.480, 31.04, 0.08847, -0.42072, 0.79666, 0.42468
2025-06-14 21:01:53.339000,f8:a2:fd:ea:fb:80, -0.212, 0.527, 0.077, -58.044, -0.61, 29.724, 133.149, 29.35, -138.763, -17.833, -24.133, 56.480, 31.04, 0.08847, -0.42072, 0.79666, 0.42468
2025-06-14 21:01:53.430000,f8:a2:fd:ea:fb:80, -0.558, 0.662, -0.098, -222.229, 16.052, 101.929, 114.016, 21.302, -142.603, -17.833, -24.133, 56.480, 31.04, 0.08847, -0.42072, 0.79666, 0.42468
2025-06-14 21:01:53.549000,f8:a2:fd:ea:fb:80, -0.481, 1.23, -1.024, -266.602, 32.654, 86.487, 87.226, 11.75, -147.398, -19.087, -47.400, 51.913, 31.04, -0.20157, -0.23904, 0.5535, 0.77185
2025-06-14 21:01:53.640000,f8:a2:fd:ea:fb:80, -0.417, 0.797, -1.18, -5.31, -18.005, 12.695, 73.257, 8.146, -144.124, -19.087, -47.400, 51.913, 31.04, -0.20157, -0.23904, 0.5535, 0.77185
2025-06-14 21:01:53.939000,f8:a2:fd:ea:fb:80, -0.122, 0.867, -0.856, 49.561, 93.933, -24.414, 81.321, 11.739, -139.186, -19.087, -47.400, 51.913, 31.04, -0.20157, -0.23904, 0.5535, 0.77185
2025-06-14 21:01:54.060000,f8:a2:fd:ea:fb:80, -0.146, 0.963, -0.192, 36.804, -0.305, -10.559, 89.445, 13.195, -134.797, -27.293, -53.673, 44.373, 31.04, -0.18295, -0.3512, 0.63058, 0.66739
2025-06-14 21:01:54.149000,f8:a2:fd:ea:fb:80, -0.266, 0.975, -0.273, 45.166, 3.296, -10.681, 94.576, 14.106, -134.835, -27.293, -53.673, 44.373, 31.04, -0.18295, -0.3512, 0.63058, 0.66739
2025-06-14 21:01:54.240000,f8:a2:fd:ea:fb:80, -0.327, 0.995, -0.224, 68.604, 1.587, -24.292, 100.563, 15.315, -135.703, -24.113, -32.707, 53.413, 31.04, -0.18295, -0.3512, 0.63058, 0.66739
2025-06-14 21:01:54.360000,f8:a2:fd:ea:fb:80, -0.094, 1.529, 0.094, 149.902, -63.354, -42.358, 111.324, 18.946, -136.368, -24.113, -32.707, 53.413, 31.04, -0.04367, -0.38757, 0.7402, 0.54758
2025-06-14 21:01:54.450000,f8:a2:fd:ea:fb:80, -0.218, 1.549, -0.666, 145.508, 5.432, -71.838, 125.288, 25.356, -136.868, -24.113, -32.707, 53.413, 31.04, -0.04367, -0.38757, 0.7402, 0.54758
2025-06-14 21:01:54.540000,f8:a2:fd:ea:fb:80, -0.388, 0.36, 0.144, -100.891, 22.4, 20.813, 126.799, 27.186, -137.95, -15.373, -21.440, 60.660, 31.04, -0.04367, -0.38757, 0.7402, 0.54758
2025-06-14 21:01:54.660000,f8:a2:fd:ea:fb:80, -0.403, 0.706, -0.032, -236.084, -34.424, 88.013, 107.996, 20.753, -139.691, -15.373, -21.440, 60.660, 31.04, -0.05731, -0.3782, 0.715, 0.58508
2025-06-14 21:01:54.750000,f8:a2:fd:ea:fb:80, -0.365, 1.407, -0.858, -283.264, 23.315, 81.97, 81.183, 12.519, -144.608, -15.373, -21.440, 60.660, 31.04, -0.05731, -0.3782, 0.715, 0.58508
2025-06-14 21:01:54.841000,f8:a2:fd:ea:fb:80, -0.477, 0.808, -1.335, -10.437, -76.172, 27.039, 65.314, 7.366, -143.322, -24.313, -59.240, 34.427, 31.04, -0.05731, -0.3782, 0.715, 0.58508
2025-06-14 21:01:54.960000,f8:a2:fd:ea:fb:80, -0.222, 0.823, -0.533, 34.058, 155.457, -30.273, 74.092, 10.311, -140.411, -24.313, -59.240, 34.427, 31.04, -0.21582, -0.26349, 0.54062, 0.76917
2025-06-14 21:01:55.050000,f8:a2:fd:ea:fb:80, -0.155, 1.031, -0.084, 70.679, 40.955, -6.226, 83.952, 13.315, -133.017, -24.313, -59.240, 34.427, 31.04, -0.21582, -0.26349, 0.54062, 0.76917
2025-06-14 21:01:55.172000,f8:a2:fd:ea:fb:80, -0.11, 1.002, -0.245, 42.725, -2.136, -1.709, 90.939, 13.892, -129.056, -31.033, -51.280, 44.753, 31.04, -0.21582, -0.26349, 0.54062, 0.76917
2025-06-14 21:01:55.320000,f8:a2:fd:ea:fb:80, -0.156, 0.949, -0.231, 38.513, -16.113, -3.357, 94.823, 13.991, -130.045, -31.033, -51.280, 44.753, 31.04, -0.20465, -0.38345, 0.62488, 0.64844
