时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:59:38.886000,f8:a2:fd:ea:fb:80, -0.25, 0.936, -0.138, 26.672, 0.549, -9.216, 94.834, 11.53, -138.994, -25.160, -46.827, 48.373, 30.97, -0.16714, -0.31992, 0.66162, 0.65717
2025-06-14 20:59:38.978000,f8:a2:fd:ea:fb:80, -0.136, 0.984, -0.163, 21.179, 19.47, -9.705, 97.729, 12.03, -137.939, -25.160, -46.827, 48.373, 30.97, -0.16714, -0.31992, 0.66162, 0.65717
2025-06-14 20:59:39.127000,f8:a2:fd:ea:fb:80, -0.295, 1.015, -0.189, 35.156, 0, -18.921, 100.563, 13.008, -136.588, -23.033, -38.107, 47.347, 30.97, -0.13742, -0.3588, 0.69437, 0.6084
2025-06-14 20:59:39.187000,f8:a2:fd:ea:fb:80, -0.349, 1.011, -0.211, 71.533, 8.179, -39.551, 105.76, 15.381, -136.241, -23.033, -38.107, 47.347, 30.97, -0.13742, -0.3588, 0.69437, 0.6084
2025-06-14 20:59:39.278000,f8:a2:fd:ea:fb:80, -0.186, 1.316, -0.012, 142.029, -82.214, -56.519, 115.681, 20.588, -136.609, -14.880, -26.007, 51.387, 30.97, -0.13742, -0.3588, 0.69437, 0.6084
2025-06-14 20:59:39.457000,f8:a2:fd:ea:fb:80, -0.138, 0.861, -0.518, 95.947, -9.644, -48.401, 126.024, 27.098, -137.867, -14.880, -26.007, 51.387, 30.97, 0.05118, -0.41339, 0.77667, 0.47238
2025-06-14 20:59:39.517000,f8:a2:fd:ea:fb:80, -0.252, 0.562, -0.049, -10.559, -28.076, 20.02, 128.469, 28.713, -140.251, -14.880, -26.007, 51.387, 30.97, 0.05118, -0.41339, 0.77667, 0.47238
2025-06-14 20:59:39.577000,f8:a2:fd:ea:fb:80, -0.408, 0.723, -0.156, -118.042, -3.296, 74.402, 118.098, 24.637, -145.124, -13.567, -30.133, 57.573, 30.97, 0.05118, -0.41339, 0.77667, 0.47238
2025-06-14 20:59:39.726000,f8:a2:fd:ea:fb:80, -0.578, 0.948, -0.447, -177.551, -19.592, 92.834, 100.915, 16.595, -149.205, -13.567, -30.133, 57.573, 30.97, -0.08423, -0.27475, 0.69122, 0.66296
2025-06-14 20:59:39.787000,f8:a2:fd:ea:fb:80, -0.388, 1.024, -0.799, -151.184, 19.104, 40.161, 84.413, 10.058, -146.667, -13.567, -30.133, 57.573, 30.97, -0.08423, -0.27475, 0.69122, 0.66296
2025-06-14 20:59:39.907000,f8:a2:fd:ea:fb:80, -0.302, 0.892, -0.516, 59.875, -23.682, -8.911, 82.76, 9.838, -145.635, -24.713, -50.733, 46.607, 30.97, -0.08423, -0.27475, 0.69122, 0.66296
2025-06-14 20:59:39.996000,f8:a2:fd:ea:fb:80, -0.08, 0.933, -0.087, 44.312, 10.864, -2.991, 88.314, 11.788, -139.526, -24.713, -50.733, 46.607, 30.97, -0.18015, -0.30759, 0.62332, 0.69589
2025-06-14 20:59:40.087000,f8:a2:fd:ea:fb:80, -0.253, 1.079, -0.034, 31.738, 30.457, 6.165, 92.065, 11.085, -136.533, -24.713, -50.733, 46.607, 30.97, -0.18015, -0.30759, 0.62332, 0.69589
2025-06-14 20:59:40.177000,f8:a2:fd:ea:fb:80, -0.203, 0.992, -0.173, 15.808, 4.822, -4.272, 95.032, 11.118, -134.67, -27.447, -43.533, 45.520, 30.97, -0.18015, -0.30759, 0.62332, 0.69589
2025-06-14 20:59:40.296000,f8:a2:fd:ea:fb:80, -0.17, 0.948, -0.141, 9.949, -17.883, -1.77, 95.966, 11.365, -136.346, -27.447, -43.533, 45.520, 30.97, -0.17532, -0.33392, 0.66409, 0.64548
2025-06-14 20:59:40.386000,f8:a2:fd:ea:fb:80, -0.139, 0.984, -0.103, 13.733, -15.625, -6.592, 96.636, 11.739, -138.516, -27.447, -43.533, 45.520, 30.97, -0.17532, -0.33392, 0.66409, 0.64548
