时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:57:24.433000,f8:a2:fd:ea:fb:80, -0.213, 0.974, 0.004, -0.488, -0.793, 0, 89.368, 12.453, -145.426, -19.953, -44.287, 40.567, 30.69, -0.13712, -0.2814, 0.64462, 0.69739
2025-06-14 20:57:24.554000,f8:a2:fd:ea:fb:80, -0.218, 0.972, 0.005, 0, -0.305, 0, 89.363, 12.448, -145.41, -19.900, -44.447, 40.427, 30.69, -0.13712, -0.2814, 0.64462, 0.69739
2025-06-14 20:57:24.613000,f8:a2:fd:ea:fb:80, -0.211, 0.977, 0, -0.122, -0.488, 0, 89.39, 12.448, -145.371, -19.900, -44.447, 40.427, 30.69, -0.13712, -0.2814, 0.64462, 0.69739
2025-06-14 20:57:24.733000,f8:a2:fd:ea:fb:80, -0.213, 0.972, 0.001, -0.305, -0.366, 0, 89.385, 12.448, -145.366, -19.900, -44.447, 40.427, 30.69, -0.13754, -0.28165, 0.6445, 0.69733
2025-06-14 20:57:24.823000,f8:a2:fd:ea:fb:80, -0.213, 0.971, 0.003, -0.122, -0.793, 0, 89.374, 12.442, -145.366, -19.900, -44.447, 40.427, 30.69, -0.13754, -0.28165, 0.6445, 0.69733
2025-06-14 20:57:24.914000,f8:a2:fd:ea:fb:80, -0.218, 0.969, 0.006, -0.366, -0.366, 0, 89.363, 12.442, -145.366, -19.893, -44.447, 40.400, 30.69, -0.13754, -0.28165, 0.6445, 0.69733
2025-06-14 20:57:25.034000,f8:a2:fd:ea:fb:80, -0.214, 0.97, -0.002, -0.122, -0.122, 0, 89.374, 12.437, -145.355, -19.893, -44.447, 40.400, 30.69, -0.13766, -0.28168, 0.64441, 0.69736
2025-06-14 20:57:25.124000,f8:a2:fd:ea:fb:80, -0.216, 0.975, 0.003, -0.488, -0.549, 0, 89.374, 12.437, -145.355, -19.893, -44.447, 40.400, 30.69, -0.13766, -0.28168, 0.64441, 0.69736
2025-06-14 20:57:25.274000,f8:a2:fd:ea:fb:80, -0.211, 0.97, 0, 0, -0.183, 0, 89.379, 12.437, -145.338, -19.907, -44.413, 40.627, 30.69, -0.13766, -0.28168, 0.64441, 0.69736
2025-06-14 20:57:25.333000,f8:a2:fd:ea:fb:80, -0.212, 0.975, 0.005, -0.366, -0.671, 0, 89.385, 12.437, -145.322, -19.907, -44.413, 40.627, 30.69, -0.13785, -0.28183, 0.64444, 0.69724
2025-06-14 20:57:25.423000,f8:a2:fd:ea:fb:80, -0.214, 0.971, 0.006, 0, -0.549, 0, 89.379, 12.431, -145.355, -19.907, -44.413, 40.627, 30.72, -0.13785, -0.28183, 0.64444, 0.69724
2025-06-14 20:57:25.513000,f8:a2:fd:ea:fb:80, -0.215, 0.974, 0.005, -0.366, -0.977, 0, 89.385, 12.431, -145.382, -19.907, -44.413, 40.627, 30.72, -0.13785, -0.28183, 0.64444, 0.69724
2025-06-14 20:57:25.633000,f8:a2:fd:ea:fb:80, -0.215, 0.975, 0.004, -0.061, 0, 0, 89.379, 12.426, -145.41, -19.907, -44.413, 40.627, 30.72, -0.13785, -0.28183, 0.64444, 0.69724
2025-06-14 20:57:25.724000,f8:a2:fd:ea:fb:80, -0.209, 0.977, 0, 0.122, -0.183, 0, 89.434, 12.426, -145.388, -20.027, -44.347, 40.347, 30.72, -0.13785, -0.28183, 0.64444, 0.69724
2025-06-14 20:57:25.812000,f8:a2:fd:ea:fb:80, -0.215, 0.97, 0.002, -0.427, -0.671, 0, 89.412, 12.42, -145.415, -20.027, -44.347, 40.347, 30.72, -0.1373, -0.28128, 0.64487, 0.69717
2025-06-14 20:57:25.962000,f8:a2:fd:ea:fb:80, -0.209, 0.974, 0.001, -0.122, 0, 0, 89.401, 12.42, -145.426, -20.027, -44.347, 40.347, 30.72, -0.1373, -0.28128, 0.64487, 0.69717
2025-06-14 20:57:26.023000,f8:a2:fd:ea:fb:80, -0.213, 0.974, 0, -0.427, -0.916, 0, 89.396, 12.415, -145.464, -19.900, -44.453, 40.480, 30.72, -0.1373, -0.28128, 0.64487, 0.69717
2025-06-14 20:57:26.143000,f8:a2:fd:ea:fb:80, -0.213, 0.972, 0.004, -0.427, -0.671, 0, 89.357, 12.409, -145.508, -19.900, -44.453, 40.480, 30.72, -0.13696, -0.28058, 0.64471, 0.69766
2025-06-14 20:57:26.234000,f8:a2:fd:ea:fb:80, -0.215, 0.972, 0.006, -0.366, -0.488, 0, 89.33, 12.404, -145.53, -19.900, -44.453, 40.480, 30.72, -0.13696, -0.28058, 0.64471, 0.69766
2025-06-14 20:57:26.323000,f8:a2:fd:ea:fb:80, -0.214, 0.973, 0.002, -0.183, -0.244, 0, 89.324, 12.398, -145.508, -19.887, -44.520, 40.507, 30.72, -0.13696, -0.28058, 0.64471, 0.69766
