时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:04:09.136000,f5:31:40:1c:34:b7, 0.113, 0.948, 0.015, -0.244, 10.254, -44.128, 75.767, -29.46, -179.105, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.136000,f5:31:40:1c:34:b7, 0.113, 1.22, -0.024, 4.15, -12.939, -76.965, 76.553, -26.614, -179.94, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.136000,f5:31:40:1c:34:b7, 0.09, 1.22, -0.024, 4.15, -12.939, -76.965, 76.833, -25.779, 179.676, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.166000,f5:31:40:1c:34:b7, 0.09, 1.157, -0.043, 10.132, -28.32, -90.637, 77.256, -24.846, 179.11, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.166000,f5:31:40:1c:34:b7, 0.093, 1.157, -0.043, 10.132, -28.32, -90.637, 77.662, -23.917, 178.555, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.166000,f5:31:40:1c:34:b7, 0.093, 0.984, -0.008, 16.724, -39.062, -97.107, 78.168, -22.945, 177.885, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.226000,f5:31:40:1c:34:b7, 0.182, 1.262, 0.01, 35.645, -57.068, -112.488, 82.639, -14.958, 172.106, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.226000,f5:31:40:1c:34:b7, 0.182, 0.984, -0.008, 16.724, -39.062, -97.107, 78.651, -21.978, 177.231, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.226000,f5:31:40:1c:34:b7, 0.187, 1.262, 0.01, 35.645, -57.068, -112.488, 83.221, -13.87, 171.37, 33.747, -65.033, 108.247, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
2025-06-14 21:04:09.285000,f5:31:40:1c:34:b7, 0.226, 1.01, 0.028, 42.603, -66.101, -119.568, 86.061, -8.124, 167.503, -68.960, -89.940, 111.560, 30.07, -0.06094, 0.21921, 0.63394, 0.73907
