时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 21:01:51.803000,f5:31:40:1c:34:b7, 0.201, 0.933, -0.042, -18.799, 46.814, 61.34, 78.981, -32.745, 173.496, -45.960, -91.413, 182.447, 30.28, 0.27686, 0.17548, 0.67886, 0.65695
2025-06-14 21:01:51.803000,f5:31:40:1c:34:b7, 0.197, 0.933, -0.042, -18.799, 46.814, 61.34, 78.53, -33.14, 174.111, -45.960, -91.413, 182.447, 30.28, 0.27686, 0.17548, 0.67886, 0.65695
2025-06-14 21:01:51.803000,f5:31:40:1c:34:b7, 0.201, 0.912, -0.046, -17.761, 55.908, 74.951, 79.426, -32.349, 172.881, -45.960, -91.413, 182.447, 30.28, 0.27686, 0.17548, 0.67886, 0.65695
2025-06-14 21:01:51.832000,f5:31:40:1c:34:b7, 0.186, 0.967, -0.036, -19.531, 36.682, 46.692, 77.772, -33.662, 175.051, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.832000,f5:31:40:1c:34:b7, 0.186, 0.973, -0.03, -19.348, 25.208, 32.471, 77.487, -33.805, 175.358, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.832000,f5:31:40:1c:34:b7, 0.197, 0.967, -0.036, -19.531, 36.682, 46.692, 78.151, -33.404, 174.584, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.862000,f5:31:40:1c:34:b7, 0.183, 0.958, -0.021, -18.616, 12.329, 18.677, 76.849, -33.997, 175.897, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.862000,f5:31:40:1c:34:b7, 0.182, 0.958, -0.021, -18.616, 12.329, 18.677, 77.025, -33.97, 175.781, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.862000,f5:31:40:1c:34:b7, 0.182, 0.973, -0.03, -19.348, 25.208, 32.471, 77.201, -33.942, 175.66, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.892000,f5:31:40:1c:34:b7, 0.183, 0.942, -0.007, -17.395, 1.099, 6.226, 76.772, -33.931, 175.847, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.892000,f5:31:40:1c:34:b7, 0.188, 0.942, -0.007, -17.395, 1.099, 6.226, 76.701, -33.865, 175.803, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.892000,f5:31:40:1c:34:b7, 0.188, 0.985, 0.013, -16.785, -8.301, -6.47, 76.712, -33.695, 175.611, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.921000,f5:31:40:1c:34:b7, 0.198, 0.985, 0.013, -16.785, -8.301, -6.47, 76.723, -33.525, 175.424, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.922000,f5:31:40:1c:34:b7, 0.198, 1.088, 0.019, -17.334, -20.569, -21.851, 76.822, -33.234, 175.051, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.922000,f5:31:40:1c:34:b7, 0.191, 1.088, 0.019, -17.334, -20.569, -21.851, 76.921, -32.948, 174.683, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.951000,f5:31:40:1c:34:b7, 0.191, 1.102, -0.011, -15.991, -34.851, -38.025, 77.135, -32.531, 174.106, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.951000,f5:31:40:1c:34:b7, 0.161, 1.102, -0.011, -15.991, -34.851, -38.025, 77.349, -32.119, 173.54, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.951000,f5:31:40:1c:34:b7, 0.161, 0.951, -0.017, -11.902, -46.387, -51.147, 77.679, -31.597, 172.809, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.982000,f5:31:40:1c:34:b7, 0.163, 0.951, -0.017, -11.902, -46.387, -51.147, 77.997, -31.08, 172.095, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.982000,f5:31:40:1c:34:b7, 0.163, 0.857, 0.02, -7.629, -54.138, -60.669, 78.398, -30.482, 171.277, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:51.982000,f5:31:40:1c:34:b7, 0.178, 0.857, 0.02, -7.629, -54.138, -60.669, 78.788, -29.883, 170.464, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:52.042000,f5:31:40:1c:34:b7, 0.183, 0.803, 0.065, -4.211, -57.678, -65.125, 79.629, -28.608, 168.788, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:52.042000,f5:31:40:1c:34:b7, 0.183, 0.86, 0.083, -1.953, -60.791, -68.726, 80.063, -27.938, 167.926, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
2025-06-14 21:01:52.042000,f5:31:40:1c:34:b7, 0.178, 0.803, 0.065, -4.211, -57.678, -65.125, 79.217, -29.246, 169.623, -45.960, -91.413, 182.447, 30.28, -0.13959, 0.25171, 0.59564, 0.74982
