时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:59:38.819000,f5:31:40:1c:34:b7, 0.238, 1.139, -0.146, 5.92, 66.528, 62.622, 89.594, -18.04, 161.757, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.819000,f5:31:40:1c:34:b7, 0.238, 1.07, -0.133, 5.371, 57.007, 68.848, 89.478, -18.66, 162.4, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.819000,f5:31:40:1c:34:b7, 0.234, 1.07, -0.133, 5.371, 57.007, 68.848, 89.368, -19.303, 162.993, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.939000,f5:31:40:1c:34:b7, 0.217, 0.97, -0.084, 4.272, 48.584, 84.656, 89.033, -21.456, 164.652, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.939000,f5:31:40:1c:34:b7, 0.234, 1.022, -0.106, 4.944, 52.551, 77.209, 89.258, -19.984, 163.564, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.939000,f5:31:40:1c:34:b7, 0.217, 1.022, -0.106, 4.944, 52.551, 77.209, 89.149, -20.704, 164.119, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.969000,f5:31:40:1c:34:b7, 0.239, 0.97, -0.084, 4.272, 48.584, 84.656, 88.918, -22.242, 165.174, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.969000,f5:31:40:1c:34:b7, 0.239, 0.922, -0.085, 3.601, 47.18, 89.172, 88.792, -23.038, 165.69, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.969000,f5:31:40:1c:34:b7, 0.264, 0.922, -0.085, 3.601, 47.18, 89.172, 88.654, -23.857, 166.201, 32.920, -59.947, 75.213, 30.47, 0.17816, 0.15421, 0.68689, 0.68744
2025-06-14 20:59:38.999000,f5:31:40:1c:34:b7, 0.273, 0.907, -0.092, 2.258, 47.241, 89.722, 88.506, -24.675, 166.718, 32.920, -59.947, 75.213, 30.47, -0.07114, 0.23178, 0.65863, 0.71225
2025-06-14 20:59:38.999000,f5:31:40:1c:34:b7, 0.285, 0.866, -0.095, -1.465, 42.725, 72.327, 87.1, -29.778, 170.376, 32.920, -59.947, 75.213, 30.47, -0.07114, 0.23178, 0.65863, 0.71225
2025-06-14 20:59:38.999000,f5:31:40:1c:34:b7, 0.285, 0.843, -0.077, -1.953, 38.391, 61.462, 86.891, -30.339, 170.848, 32.920, -59.947, 75.213, 30.47, -0.07114, 0.23178, 0.65863, 0.71225
