时间,设备名称,加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),四元数0(),四元数1(),四元数2(),四元数3()
2025-06-14 20:57:24.425000,f5:31:40:1c:34:b7, 0.515, 0.85, -0.142, -0.488, 0, 0.122, 99.443, -30.179, 177.72, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.425000,f5:31:40:1c:34:b7, 0.515, 0.841, -0.14, -0.244, 1.099, 0.427, 99.437, -30.19, 177.731, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.425000,f5:31:40:1c:34:b7, 0.501, 0.841, -0.14, -0.244, 1.099, 0.427, 99.432, -30.196, 177.748, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.455000,f5:31:40:1c:34:b7, 0.501, 0.833, -0.136, 0, 1.709, 0.549, 99.421, -30.207, 177.764, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.455000,f5:31:40:1c:34:b7, 0.496, 0.833, -0.136, 0, 1.709, 0.549, 99.41, -30.218, 177.781, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.455000,f5:31:40:1c:34:b7, 0.496, 0.838, -0.143, -0.061, 0.671, 0.366, 99.41, -30.223, 177.792, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.516000,f5:31:40:1c:34:b7, 0.496, 0.848, -0.135, -0.244, 0.793, 0.122, 99.377, -30.256, 177.847, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.516000,f5:31:40:1c:34:b7, 0.5, 0.838, -0.143, -0.061, 0.671, 0.366, 99.404, -30.229, 177.797, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.516000,f5:31:40:1c:34:b7, 0.496, 0.845, -0.141, -0.061, 1.343, 0.244, 99.388, -30.251, 177.841, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
2025-06-14 20:57:24.546000,f5:31:40:1c:34:b7, 0.501, 0.85, -0.136, -0.305, 0.122, 0.244, 99.366, -30.262, 177.858, -24.147, -39.053, 73.247, 30.45, -0.19061, 0.17957, 0.73294, 0.62778
